Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
BinSet Name	PowerPlex_Fusion_POP7_Bins_IDX_v2.0			
Panel Name	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
Marker Name	AMEL			
X	82.31	0.5	0.5	
Y	88.46	0.5	0.5	
Marker Name	D3S1358			
8	93.39	0.5	0.5	virtual
9	97.82	0.5	0.5	
10	102.25	0.5	0.5	
11	106.74	0.5	0.5	
12	111.2	0.5	0.5	
13	115.63	0.5	0.5	
14	120.02	0.5	0.5	
14.3	123.24	0.5	0.5	virtual
15	124.31	0.4	0.5	
15.1	125.38	0.4	0.5	virtual
15.2	126.45	0.4	0.5	virtual
15.3	127.52	0.4	0.5	virtual
16	128.59	0.4	0.5	
16.2	130.71	0.5	0.5	virtual
17	132.82	0.5	0.5	
17.1	133.89	0.4	0.5	virtual
17.2	134.95	0.4	0.5	virtual
18	137.08	0.5	0.5	
18.1	138.13	0.4	0.5	virtual
18.2	139.19	0.4	0.5	virtual
18.3	140.24	0.4	0.5	virtual
19	141.29	0.4	0.5	
20	145.51	0.5	0.5	
20.1	146.57	0.4	0.5	virtual
21	149.73	0.5	0.5	virtual
Marker Name	D1S1656			
8	156.08	0.5	0.5	virtual
9	160.12	0.5	0.5	
10	164.16	0.5	0.5	
11	168.22	0.5	0.5	
12	172.27	0.5	0.5	
13	176.38	0.5	0.5	
13.3	179.39	0.5	0.4	virtual
14	180.39	0.4	0.5	
14.3	183.48	0.5	0.4	
15	184.41	0.4	0.5	
15.3	187.49	0.5	0.4	
16	188.44	0.4	0.5	
16.2	190.49	0.5	0.4	virtual
16.3	191.52	0.4	0.4	
17	192.47	0.4	0.4	
17.1	193.5	0.4	0.5	virtual
17.3	195.57	0.5	0.4	
18	196.51	0.4	0.5	
18.3	199.58	0.5	0.4	
19	200.51	0.4	0.5	
19.3	203.58	0.5	0.5	
20.3	207.62	0.5	0.4	
21	208.63	0.4	0.5	virtual
Marker Name	D2S441			
8	211.77	0.5	0.5	
9	215.88	0.5	0.4	
9.1	216.91	0.4	0.5	virtual
10	219.98	0.5	0.4	
10.1	221	0.4	0.5	virtual
11	224.07	0.5	0.5	
11.3	227.12	0.5	0.4	
12	228.19	0.4	0.5	
12.3	231.3	0.5	0.4	virtual
13	232.34	0.4	0.4	
13.1	233.37	0.4	0.5	virtual
13.3	235.43	0.5	0.4	virtual
14	236.46	0.4	0.5	
14.3	239.54	0.5	0.4	virtual
15	240.57	0.4	0.5	
16	244.72	0.5	0.5	
17	248.83	0.5	0.5	
Marker Name	D10S1248			
8	252.59	0.5	0.5	
9	256.55	0.5	0.5	
10	260.53	0.5	0.5	
11	264.49	0.5	0.5	
12	268.48	0.5	0.5	
13	272.42	0.5	0.5	
14	276.35	0.5	0.5	
15	280.26	0.5	0.5	
16	284.16	0.5	0.5	
17	288.08	0.5	0.5	
18	291.97	0.5	0.5	
19	295.86	0.5	0.5	
Marker Name	D13S317			
5	300.35	0.5	0.5	
6	304.34	0.5	0.5	
7	308.36	0.5	0.5	
7.1	309.36	0.4	0.5	virtual
8	312.37	0.5	0.5	
8.1	313.37	0.4	0.5	virtual
9	316.38	0.5	0.5	
10	320.4	0.5	0.5	
11	324.42	0.5	0.5	
12	328.46	0.5	0.5	
12.3	331.48	0.5	0.5	virtual
13	332.48	0.4	0.5	
13.3	335.53	0.5	0.5	virtual
14	336.54	0.4	0.5	
15	340.59	0.5	0.5	
16	344.63	0.5	0.5	
17	348.67	0.5	0.5	
Marker Name	Penta E			
4	364.13	0.5	0.5	virtual
5	368.97	0.5	0.5	
6	373.81	0.5	0.5	
7	378.64	0.5	0.5	
8	383.51	0.5	0.5	
9	388.36	0.5	0.5	
10	393.19	0.5	0.5	
11	398.02	0.5	0.5	
11.4	401.84	0.5	0.5	virtual
12	402.8	0.4	0.5	
13	407.58	0.5	0.5	
14	412.35	0.5	0.5	
14.2	414.25	0.5	0.5	virtual
15	417.09	0.5	0.5	
15.2	419	0.5	0.5	virtual
16	421.87	0.5	0.5	
16.4	425.7	0.5	0.5	virtual
17	426.66	0.4	0.5	
17.4	430.52	0.5	0.5	virtual
18	431.48	0.4	0.5	
19	436.3	0.5	0.5	
20	441.11	0.5	0.5	
21	445.9	0.5	0.5	
22	450.67	0.5	0.5	
23	455.39	0.5	0.5	
24	460.06	0.5	0.5	
25	464.73	0.5	0.5	virtual
Marker Name	D16S539			
4	75.22	0.5	0.5	
5	79.78	0.5	0.5	
6	84.31	0.5	0.5	
7	88.78	0.5	0.5	
8	93.26	0.5	0.5	
8.3	96.59	0.5	0.4	virtual
9	97.7	0.4	0.5	
9.3	101.05	0.5	0.4	virtual
10	102.16	0.4	0.5	
10.3	105.52	0.5	0.4	virtual
11	106.64	0.4	0.5	
11.3	109.96	0.5	0.4	virtual
12	111.06	0.4	0.4	
12.1	112.17	0.4	0.4	virtual
12.2	113.28	0.4	0.5	virtual
13	115.49	0.5	0.5	
13.3	118.78	0.5	0.4	virtual
14	119.87	0.4	0.5	
