Version	GMID-X v 1.0						
Kit type:	MICROSATELLITE						
Chemistry Kit	PowerPlexY23_Panels_IDX_v1.2	null					
Panel	PowerPlexY23_IDX_v1.2	null					
DYS576	blue	78	141	18	4	none	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
DYS389I	blue	141.5	180	14	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17
DYS448	blue	183	253.5	19	6	none	14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
DYS389II	blue	254	305.9	31	4	none	24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35
DYS19	blue	306	354	14	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
DYS391	green	76	126.1	10	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
DYS481	green	126.3	183.7	22	3	none	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
DYS549	green	183.8	237.5	13	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
DYS533	green	239	290.5	12	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
DYS438	green	291	345	9	5	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
DYS437	green	345.5	385	14	4	none	11, 12, 13, 14, 15, 16, 17, 18
DYS570	yellow	76	150.9	17	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
DYS635	yellow	151.2	208	21	4	none	15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28
DYS390	yellow	208.3	258.5	24	4	none	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
DYS439	yellow	258.6	312.8	12	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
DYS392	yellow	313	363.5	13	3	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
DYS643	yellow	364	447	10	5	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
DYS393	red	97	153	13	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
DYS458	red	155	220	17	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
DYS385 a/b	red	221	314	13, 16	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28
DYS456	red	316	370	17	4	none	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
Y-GATA-H4	red	373	426	11	4	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
