Version	GMID-X v 1.0						
Kit type:	MICROSATELLITE						
Chemistry Kit	PowerPlex_18D_Panels_IDX_v1.2	null					
Panel	PowerPlex_18D_IDX_v1.2	null					
D3S1358	blue	90	148.2	17,18	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
TH01	blue	148.3	194	6,9.3	4	none	3, 4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3,
D21S11	blue	195	270	29,31.2	4	none	24, 24.2, 25, 25.2, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38,
D18S51	blue	271	366	16,18	4	none	7, 8, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27,
Penta E	blue	367	474	7,14	5	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24,
D5S818	green	110	162	12	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16,
D13S317	green	163	210	9,11	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15,
D7S820	green	211	254	8,11	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14,
D16S539	green	255	307	9,13	4	none	5, 8, 9, 10, 11, 12, 13, 14, 15,
CSF1PO	green	308	366	12	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
Penta D	green	367	458	12,13	5	none	2.2, 3.2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17,
AMEL	yellow	106	121	1,2	6	none	1, 2,
vWA	yellow	122	195	16,19	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24,
D8S1179	yellow	196	258	14,15	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
TPOX	yellow	259	306	11	4	none	6, 7, 8, 9, 10, 11, 12, 13,
FGA	yellow	307	472	20,23	4	none	14, 15, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23, 23.2, 24, 24.2, 25, 25.2, 26, 27, 28, 29, 30, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 48.2, 50.2,
D19S433	red	160	224.5	13,14	4	none	5.2, 6.2, 8, 9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 18, 18.2,
D2S1338	red	225	305	22,25	4	none	10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
