Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_21_Panels_IDX_v1.1			
BinSet Name	PowerPlex_21_Bins_IDX_v1.1			
Panel Name	PowerPlex_21_IDX_v1.1			
Marker Name	AMEL			
1	83.88	0.5	0.5	
2	89.63	0.5	0.5	
Marker Name	D3S1358			
8	93.92	0.5	0.5	virtual
9	98.07	0.5	0.5	
10	102.18	0.5	0.5	
11	106.33	0.5	0.5	
12	110.47	0.5	0.5	
13	114.61	0.5	0.5	
14	118.76	0.5	0.5	
15	122.87	0.5	0.5	
15.2	124.91	0.5	0.5	virtual
16	126.95	0.5	0.5	
17	131.04	0.5	0.4	
17.1	132.13	0.5	0.5	virtual
18	135.16	0.5	0.5	
19	139.21	0.5	0.5	
20	143.31	0.5	0.4	
20.1	144.33	0.5	0.5	virtual
21	147.38	0.5	0.5	virtual
Marker Name	D1S1656			
8	153.57	0.5	0.5	virtual
9	157.58	0.5	0.5	
10	161.61	0.5	0.5	
11	165.61	0.5	0.5	
12	169.62	0.5	0.5	
13	173.67	0.5	0.5	
13.3	176.66	0.5	0.4	virtual
14	177.65	0.5	0.5	
14.3	180.7	0.5	0.4	
15	181.63	0.5	0.5	
15.3	184.68	0.5	0.4	
16	185.61	0.5	0.5	
16.3	188.66	0.5	0.4	
17	189.61	0.5	0.4	
17.1	190.6	0.5	0.5	virtual
17.3	192.66	0.5	0.4	
18	193.6	0.5	0.5	
18.3	196.65	0.5	0.4	
19	197.59	0.5	0.5	
19.3	200.63	0.5	0.5	
20.3	204.64	0.5	0.4	
21	205.64	0.4	0.5	virtual
Marker Name	D6S1043			
6	207.47	0.5	0.5	virtual
7	211.46	0.5	0.5	
8	215.45	0.5	0.5	
9	219.44	0.5	0.5	
10	223.48	0.5	0.5	
11	227.5	0.5	0.5	
12	231.57	0.5	0.5	
12.3	234.61	0.5	0.4	virtual
13	235.62	0.5	0.5	
14	239.66	0.5	0.5	
15	243.71	0.5	0.5	
16	247.79	0.5	0.5	
17	251.85	0.5	0.5	
17.2	253.89	0.5	0.4	virtual
17.3	254.92	0.5	0.4	virtual
18	255.93	0.5	0.5	
18.2	257.97	0.5	0.5	virtual
19	260.01	0.5	0.5	
19.2	262.03	0.5	0.4	virtual
19.3	263.04	0.5	0.4	virtual
20	264.05	0.5	0.5	
20.3	267.09	0.5	0.4	virtual
21	268.1	0.5	0.5	
21.3	271.14	0.5	0.4	virtual
22	272.15	0.5	0.5	
22.3	275.16	0.5	0.4	virtual
23	276.16	0.5	0.5	
23.3	279.15	0.5	0.4	virtual
24	280.14	0.5	0.5	
24.3	283.14	0.5	0.4	virtual
25	284.12	0.5	0.5	
26	288.11	0.5	0.5	virtual
Marker Name	D13S317			
5	297.13	0.5	0.5	
6	301.11	0.5	0.5	
7	305.13	0.5	0.4	
7.1	306.14	0.5	0.5	virtual
8	309.15	0.5	0.4	
8.1	310.16	0.5	0.5	virtual
9	313.17	0.5	0.5	
10	317.17	0.5	0.5	
11	321.22	0.5	0.5	
12	325.21	0.5	0.5	
12.3	328.3	0.5	0.4	virtual
13	329.33	0.5	0.5	
13.3	332.39	0.5	0.4	virtual
14	333.41	0.5	0.5	
15	337.47	0.5	0.5	
16	341.52	0.5	0.5	
17	345.61	0.5	0.5	
Marker Name	Penta E			
4	360.74	0.5	0.5	virtual
5	365.52	0.5	0.5	
6	370.33	0.5	0.5	
7	375.09	0.5	0.5	
8	380	0.5	0.5	
9	384.89	0.5	0.5	
10	389.75	0.5	0.5	
11	394.63	0.5	0.5	
11.4	398.52	0.5	0.4	virtual
12	399.49	0.5	0.5	
13	404.28	0.5	0.5	
14	409.06	0.5	0.5	
14.2	410.96	0.5	0.5	virtual
15	413.83	0.5	0.5	
15.2	415.73	0.5	0.5	virtual
16	418.59	0.5	0.5	
16.4	422.45	0.5	0.4	virtual
17	423.41	0.5	0.5	
17.4	427.34	0.5	0.4	virtual
18	428.33	0.5	0.5	
19	433.32	0.5	0.5	
20	438.3	0.5	0.5	
21	443.22	0.5	0.5	
22	448.24	0.5	0.5	
23	453.09	0.5	0.5	
24	457.86	0.5	0.5	
25	462.8	0.5	0.5	virtual
Marker Name	D16S539			
4	77.97	0.5	0.5	
5	82.04	0.5	0.5	
6	86.12	0.5	0.5	
7	90.21	0.5	0.5	
8	94.31	0.5	0.5	
9	98.42	0.5	0.5	
9.3	101.54	0.5	0.4	virtual
10	102.57	0.5	0.5	
11	106.75	0.5	0.5	
11.3	109.87	0.5	0.4	virtual
12	110.92	0.5	0.4	
12.1	111.92	0.5	0.5	virtual
13	115.09	0.5	0.5	
13.3	118.21	0.5	0.4	virtual
14	119.26	0.5	0.5	
15	123.37	0.5	0.5	
16	127.44	0.5	0.4	
Marker Name	D18S51			
7	130.54	0.4	0.5	
8	134.62	0.5	0.5	
9	138.71	0.5	0.5	
9.2	140.75	0.5	0.5	virtual
10	142.79	0.5	0.5	
10.2	144.83	0.5	0.5	
11	146.88	0.5	0.5	
11.2	148.93	0.5	0.5	virtual
12	150.98	0.5	0.5	
12.2	153.01	0.5	0.5	virtual
13	155.05	0.5	0.5	
13.2	157.08	0.5	0.4	
13.3	158.1	0.5	0.4	virtual
14	159.13	0.5	0.5	
14.2	161.15	0.5	0.5	virtual
15	163.18	0.5	0.5	
15.2	165.2	0.5	0.5	virtual
16	167.21	0.5	0.4	
16.1	168.22	0.5	0.4	virtual
16.2	169.22	0.5	0.5	virtual
17	171.24	0.5	0.5	
17.2	173.24	0.5	0.5	virtual
18	175.25	0.5	0.4	
18.1	176.26	0.5	0.4	virtual
18.2	177.26	0.5	0.5	virtual
19	179.27	0.5	0.5	
19.2	181.28	0.5	0.5	virtual
20	183.3	0.5	0.5	
20.2	185.3	0.5	0.5	virtual
21	187.31	0.5	0.5	
21.2	189.33	0.5	0.5	virtual
22	191.34	0.5	0.5	
22.2	193.35	0.5	0.5	virtual
23	195.35	0.5	0.5	
24	199.38	0.5	0.5	
25	203.43	0.5	0.5	
26	207.46	0.5	0.5	
27	211.51	0.5	0.5	
Marker Name	D2S1338			
10	220.14	0.5	0.5	
11	224.15	0.5	0.5	virtual
12	228.16	0.5	0.5	
13	232.2	0.5	0.5	virtual
14	236.24	0.5	0.5	
15	240.29	0.5	0.5	
16	244.33	0.5	0.5	
17	248.38	0.5	0.5	
18	252.46	0.5	0.5	
18.3	255.51	0.5	0.4	virtual
19	256.53	0.5	0.5	
19.3	259.58	0.5	0.4	virtual
20	260.6	0.5	0.5	
21	264.65	0.5	0.5	
22	268.69	0.5	0.5	
23	272.73	0.5	0.5	
23.2	274.73	0.5	0.4	virtual
23.3	275.73	0.5	0.4	virtual
24	276.73	0.5	0.5	
24.2	278.72	0.5	0.5	virtual
25	280.71	0.5	0.5	
26	284.68	0.5	0.5	
27	288.63	0.5	0.5	
28	292.57	0.5	0.5	
Marker Name	CSF1PO			
5	314.01	0.5	0.5	
6	318.03	0.5	0.5	
7	322.08	0.5	0.5	
7.3	325.11	0.5	0.4	virtual
8	326.12	0.5	0.4	
8.1	327.14	0.5	0.5	virtual
9	330.19	0.5	0.4	
9.1	331.21	0.5	0.5	virtual
10	334.27	0.5	0.4	
10.1	335.28	0.5	0.4	virtual
10.2	336.3	0.5	0.4	virtual
10.3	337.31	0.5	0.4	virtual
11	338.32	0.5	0.4	
11.1	339.34	0.5	0.5	virtual
11.3	341.37	0.5	0.4	virtual
12	342.38	0.5	0.5	
12.3	345.44	0.5	0.4	virtual
13	346.46	0.5	0.5	
14	350.5	0.5	0.5	
15	354.5	0.5	0.5	
16	358.5	0.5	0.5	
Marker Name	Penta D			
2.2	375.52	0.5	0.5	
3.2	380.65	0.5	0.5	
5	388.85	0.5	0.5	
