Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESI_Panels_IDX_v1.1			
BinSet Name	PowerPlex_ESI_Bins_IDX_v1.1			
Panel Name	PowerPlex_ESI_17_IDX_v1.1			
Marker Name	AMEL			
1	82.01	0.5	0.5	
2	87.79	0.5	0.5	
Marker Name	D3S1358			
8	94.17	0.5	0.5	virtual
9	98.29	0.5	0.5	
10	102.41	0.5	0.5	
11	106.57	0.5	0.5	
12	110.75	0.5	0.5	
13	114.87	0.5	0.5	
14	119	0.5	0.5	
15	123.11	0.5	0.5	
15.2	125.15	0.5	0.5	virtual
16	127.21	0.5	0.5	
17	131.24	0.5	0.5	
17.1	132.28	0.4	0.5	virtual
18	135.42	0.5	0.5	
19	139.47	0.5	0.5	
20	143.54	0.5	0.5	
20.1	144.56	0.4	0.5	virtual
21	147.61	0.5	0.5	virtual
Marker Name	D19S433			
5.2	157.99	0.5	0.5	
6.2	161.92	0.5	0.5	
7	163.96	0.5	0.5	virtual
8	167.84	0.5	0.5	
9	171.76	0.5	0.5	
9.2	173.73	0.5	0.5	virtual
10	175.69	0.5	0.5	
10.2	177.71	0.5	0.5	virtual
11	179.62	0.5	0.5	
11.2	181.5	0.5	0.5	virtual
12	183.47	0.5	0.5	
12.1	184.48	0.4	0.4	virtual
12.2	185.48	0.5	0.5	
13	187.41	0.5	0.5	
13.2	189.43	0.5	0.5	
14	191.37	0.5	0.5	
14.2	193.31	0.5	0.5	
15	195.25	0.5	0.5	
15.2	197.2	0.5	0.5	
16	199.14	0.5	0.5	
16.2	201.17	0.5	0.5	
17	203.13	0.5	0.5	
17.2	205.09	0.5	0.5	
18	207.05	0.5	0.5	
18.2	209.01	0.5	0.5	
19	210.95	0.5	0.5	virtual
19.2	213.02	0.5	0.5	virtual
20	215	0.5	0.5	virtual
20.2	216.95	0.5	0.5	virtual
Marker Name	D2S1338			
10	218.96	0.5	0.5	
11	223.01	0.5	0.5	virtual
12	227.08	0.5	0.5	
13	231.1	0.5	0.5	virtual
14	235.18	0.5	0.5	
15	239.19	0.5	0.5	
16	243.3	0.5	0.5	
17	247.33	0.5	0.5	
18	251.37	0.5	0.5	
