Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESI_Panels_IDX_v3.0			
BinSet Name	PowerPlex_ESI_Bins_IDX_v3.0			
Panel Name	PowerPlex_ESI_17_IDX_v3.0			
Marker Name	AMEL			
1	77.09	0.5	0.5	
2	83.29	0.5	0.5	
Marker Name	D3S1358			
8	90.22	0.5	0.5	virtual
9	94.52	0.5	0.5	
10	98.82	0.5	0.5	
11	103.18	0.5	0.5	
12	107.56	0.5	0.5	
13	111.91	0.5	0.5	
14	116.26	0.5	0.5	
14.3	119.51	0.5	0.4	virtual
15	120.59	0.4	0.4	
15.1	121.65	0.4	0.4	virtual
15.2	122.71	0.4	0.4	virtual
15.3	123.77	0.4	0.4	virtual
16	124.83	0.4	0.5	
16.2	126.95	0.5	0.5	virtual
17	129.06	0.5	0.4	
17.1	130.13	0.4	0.4	virtual
17.2	131.2	0.4	0.5	virtual
18	133.34	0.5	0.4	
18.1	134.39	0.4	0.4	virtual
18.2	135.43	0.4	0.4	virtual
18.3	136.48	0.4	0.4	virtual
19	137.52	0.4	0.5	
20	141.7	0.5	0.4	
20.1	142.75	0.4	0.5	virtual
21	145.88	0.5	0.5	virtual
Marker Name	D19S433			
5.2	156.92	0.5	0.5	
6	158.97	0.5	0.5	virtual
6.2	161.01	0.5	0.5	
7	163.03	0.5	0.5	virtual
8	167.08	0.5	0.5	
8.2	169.1	0.5	0.5	virtual
9	171.12	0.5	0.5	
9.2	173.13	0.5	0.5	virtual
10	175.14	0.5	0.5	
10.2	177.15	0.5	0.5	virtual
11	179.16	0.5	0.4	
11.1	180.16	0.4	0.4	virtual
11.2	181.16	0.4	0.5	virtual
12	183.17	0.5	0.4	
12.1	184.18	0.4	0.4	virtual
12.2	185.19	0.4	0.5	
13	187.19	0.5	0.4	
13.1	188.19	0.4	0.4	virtual
13.2	189.19	0.4	0.5	
14	191.19	0.5	0.4	
14.1	192.2	0.4	0.4	virtual
14.2	193.21	0.4	0.5	
14.3	194.2	0.4	0.4	virtual
