Version	GMID-X v 1.2						
Kit type:	MICROSATELLITE						
Chemistry Kit	Investigator_Panels_v7x	none					
Panel	24plex_Panels_v2	none					
AMEL	blue	74	83	1,2	3	none	1, 2, 
TH01	blue	85	136	6,9.3	4	none	4, 5, 6, 7, 8, 9, 9.3, 10, 10.3, 11, 13, 13.3, 
D3S1358	blue	138	220	15,17	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 
vWA	blue	234	304	17	4	none	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24,
D21S11	blue	306	424	29,30	4	none	24, 24.2, 25, 26, 26.2, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 36.2, 37, 38,
TPOX	green	76	127	8,9	4	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
DYS391	green	129	154.5	10	4	none	7, 8, 9, 10, 11, 12, 13,
D1S1656	green	155.5	201	14,17	4	none	10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18, 18.3, 19.3, 20.3,
D12S391	green	203	265	18,24	4	none	14, 15, 16, 17, 17.3, 18, 18.3, 19, 20, 21, 22, 23, 24, 25, 26, 27,
SE33	green	272	434	23.2,26.2	4	none	3, 4.2, 6.3, 8, 9, 10, 11, 12, 13, 13.2, 14, 14.2, 15, 15.2, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23.2, 24.2, 25, 25.2, 26.2, 27.2, 28.2, 29.2, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 36, 36.2, 37, 38, 39, 42,
D10S1248	yellow	83	143	12,15	4	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
D22S1045	yellow	144	191	16,18	3	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
D19S433	yellow	213	279	13,14	4	none	6.2, 8, 9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 18.2, 
D8S1179	yellow	281	351	12,13	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
D2S1338	yellow	360	438	23	4	none	12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
D2S441	red	79	133	11,12	4	none	8, 9, 10, 11, 11.3, 12, 13, 14, 15, 16, 17,
D18S51	red	134	285	15,18	4	none	8, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 17.2, 18, 18.2, 19, 20, 21, 21.2, 22, 23, 24, 25, 26, 27, 28, 
FGA	red	287	445.5	24,26	4	none	14, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23, 23.2, 24, 24.2, 25, 25.2, 26, 27, 28, 29, 30, 30.2, 31.2, 33, 34, 37.2, 42.2, 43.2, 44.2, 45.2, 46.2, 47.2, 48.2, 50.2, 51.2,
QS1	purple	71	79	1	3	none	1, 2,
D16S539	purple	81	150.5	11	4	none	5, 8, 9, 10, 11, 12, 13, 14, 15,
CSF1PO	purple	151.5	216	10,11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16,
D13S317	purple	219	277	11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17,
D5S818	purple	287	343	11,13	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18,
D7S820	purple	345	397	11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16,
QS2	purple	428	437	2	5	none	1, 2, 
