Version	GMID-X v 1.2						
Kit type:	MICROSATELLITE						
Chemistry Kit	Investigator_Panels_v9x	none					
Panel	Argus_X12_Panels_v3	none					
AMEL	blue	77.0	84.0	X	9	none	1, 2, 
DXS10103	blue	107.0	139.0	17	4	none	15, 16, 17, 18, 19, 20, 21, 
DXS8378	blue	146.0	186.0	10,11	4	none	9, 10, 11, 12, 13, 14, 15, 
DXS7132	blue	203.0	257.0	12	4	none	10, 11, 12, 13, 14, 15, 16, 17, 
DXS10134	blue	289.0	370.0	35,36	4	none	28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 38.3, 39.3, 40.3, 41.3, 42.3, 43.3, 44.3, 
DXS10074	green	96.0	174.0	16,19	4	none	4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 16.2, 17, 18, 19, 20, 21, 
DXS10101	green	209.0	267.0	30,31	4	none	24, 24.2, 25, 25.2, 26, 26.2, 27, 27.2, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 
DXS10135	green	268.0	383.0	21.1,27	4	none	13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37.2, 39.2, 
DXS7423	yellow	123.0	175.0	14,15	4	none	13, 14, 15, 16, 17, 18, 
DXS10146	yellow	183.0	281.0	28	4	none	24, 25, 26, 27, 28, 29, 30, 31, 32, 32.2, 33, 33.2, 34, 34.2, 35.2, 39.2, 40.2, 41.2, 42.2, 43.2, 44.2, 45.2, 46.2, 
DXS10079	yellow	286.0	338.0	20,23	4	none	14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 
HPRTB	red	127.0	187.0	14	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 
DXS10148	red	206.0	312.0	22.1,23.1	4	none	13.3, 18, 19, 20, 21, 22.1, 23.1, 24.1, 25.1, 26.1, 27.1, 28.1, 29.1, 30.1, 31, 38.1, 

