Version	GM v 4.0			
Chemistry Kit	NMI_2009			
BinSet Name	NMI_binset			
Panel Name	NMI_2009_panel			
Marker Name	NMI01			
1	122	0.5	0.5	virtual
1.1	123	0.5	0.5	virtual
1.2	124	0.5	0.5	virtual
1.3	125	0.5	0.5	virtual
1.4	126	0.5	0.5	virtual
1.5	127	0.5	0.5	virtual
2	128	0.5	0.5	
2.1	129	0.5	0.5	
2.2	130	0.5	0.5	
2.3	131	0.49	0.49	
2.4	132	0.5	0.5	
2.5	133	0.5	0.5	
3	134	0.5	0.5	
3.1	135	0.5	0.5	
3.2	136	0.5	0.5	
3.3	137	0.5	0.5	
3.4	138.01	0.5	0.49	
3.5	139	0.5	0.5	
4	140	0.5	0.5	
4.1	141	0.5	0.5	
4.2	142	0.5	0.5	
4.3	143	0.5	0.5	
4.4	144	0.5	0.5	
4.5	145	0.5	0.5	
5	146	0.5	0.5	
5.1	147	0.5	0.5	
5.2	148	0.5	0.5	
5.3	149	0.5	0.5	
5.4	150	0.5	0.5	
5.5	151	0.5	0.5	
6	152	0.5	0.5	
6.1	153	0.5	0.5	
6.2	154	0.5	0.5	
6.3	155	0.5	0.5	
6.4	156	0.5	0.5	
6.5	157	0.5	0.5	
7	158	0.5	0.5	
7.1	159	0.5	0.5	
7.2	160	0.5	0.5	
7.3	161	0.5	0.5	
7.4	162	0.5	0.5	
7.5	163	0.5	0.5	
8	164	0.5	0.5	
8.1	165	0.5	0.5	
8.2	166	0.5	0.5	
8.3	167	0.5	0.5	
8.4	168	0.5	0.5	
8.5	169	0.5	0.5	
9	170	0.5	0.5	
9.1	171	0.5	0.5	
9.2	172	0.5	0.5	
9.3	173	0.5	0.5	
9.4	174	0.5	0.5	
9.5	175	0.5	0.5	
10	176	0.5	0.5	
10.1	177	0.5	0.5	
10.2	178	0.5	0.5	
10.3	179	0.5	0.5	
10.4	180	0.5	0.5	
10.5	181	0.5	0.5	
11	182	0.5	0.5	
11.1	183	0.5	0.5	
11.2	184	0.5	0.5	
11.3	185	0.5	0.5	
11.4	186	0.5	0.5	
11.5	187	0.5	0.5	
12	188	0.5	0.5	
12.1	189	0.5	0.5	
12.2	190	0.5	0.5	
12.3	191	0.5	0.5	
12.4	192	0.5	0.5	
12.5	193	0.5	0.5	
13	194	0.5	0.5	
13.1	195	0.5	0.5	
13.2	196	0.5	0.5	
13.3	197	0.5	0.5	
13.4	198	0.5	0.5	
13.5	199	0.5	0.5	
14	200	0.5	0.5	
14.1	201	0.5	0.5	
14.2	202	0.5	0.5	
14.3	203	0.5	0.5	
14.4	204	0.5	0.5	
14.5	205	0.5	0.5	
15	206	0.5	0.5	
15.1	207	0.5	0.5	
15.2	208	0.5	0.5	
15.3	209	0.5	0.5	
15.4	210	0.5	0.5	
15.5	211	0.5	0.5	
16	212	0.5	0.5	
16.1	213	0.5	0.5	
16.2	214	0.5	0.5	
16.3	215	0.5	0.5	
16.4	216	0.5	0.5	
16.5	217	0.5	0.5	
17	218	0.5	0.5	
17.1	219	0.5	0.5	
17.2	220	0.5	0.5	
17.3	221	0.5	0.5	
17.4	222	0.5	0.5	
17.5	223	0.5	0.5	
18	224	0.5	0.5	
18.1	225	0.5	0.5	
18.2	226	0.5	0.5	
18.3	227	0.5	0.5	
18.4	228	0.5	0.5	
18.5	229	0.5	0.5	
19	230	0.5	0.5	
19.1	231	0.5	0.5	
19.2	232	0.5	0.5	
19.3	233	0.5	0.5	
19.4	234	0.5	0.5	
19.5	235	0.5	0.5	
20	236	0.5	0.5	
20.1	237	0.5	0.5	
20.2	238	0.5	0.5	
20.3	239	0.5	0.5	
20.4	240	0.5	0.5	
20.5	241	0.5	0.5	
21	242	0.5	0.5	
21.1	243	0.5	0.5	
21.2	244	0.5	0.5	
21.3	245	0.5	0.5	
21.4	246	0.5	0.5	
21.5	247	0.5	0.5	
22	248	0.5	0.5	
22.1	249	0.5	0.5	
22.2	250	0.5	0.5	
22.3	251	0.5	0.5	
22.4	252	0.5	0.5	
22.5	253	0.5	0.5	
23	254	0.5	0.5	
23.1	255	0.5	0.5	
23.2	256	0.5	0.5	
23.3	257	0.5	0.5	
23.4	258	0.5	0.5	
23.5	259	0.5	0.5	
24	260	0.5	0.5	
24.1	261	0.5	0.5	
24.2	262	0.5	0.5	
24.3	263	0.5	0.5	
24.4	264	0.5	0.5	
24.5	265	0.5	0.5	
25	266	0.5	0.5	
25.1	267	0.5	0.5	
25.2	268	0.5	0.5	
25.3	269	0.5	0.5	
25.4	270	0.5	0.5	
25.5	271	0.5	0.5	
26	272	0.5	0.5	
26.1	273	0.5	0.5	
26.2	274	0.5	0.5	
26.3	275	0.5	0.5	
26.4	276	0.5	0.5	
26.5	277	0.5	0.5	
27	278	0.5	0.5	
27.1	279	0.5	0.5	
27.2	280	0.5	0.5	
27.3	281	0.5	0.5	
27.4	282	0.5	0.5	
27.5	283	0.5	0.5	
28	284	0.5	0.5	
28.1	285	0.5	0.5	
28.2	286	0.5	0.5	
28.3	287	0.5	0.5	
28.4	288	0.5	0.5	
28.5	289	0.5	0.5	
29	290	0.5	0.5	
29.1	291	0.5	0.5	
29.2	292	0.5	0.5	
29.3	293	0.5	0.5	
29.4	294	0.5	0.5	
29.5	295	0.5	0.5	
30	296	0.5	0.5	
30.1	297	0.5	0.5	
30.2	298	0.5	0.5	
30.3	299	0.5	0.5	
30.4	300	0.5	0.5	
30.5	301	0.5	0.5	
31	302	0.5	0.5	
31.1	303	0.5	0.5	
31.2	304	0.5	0.5	
31.3	305	0.5	0.5	
31.4	306	0.5	0.5	
31.5	307	0.5	0.5	
32	308	0.5	0.5	
32.1	309	0.5	0.5	
32.2	310	0.5	0.5	
32.3	311	0.5	0.5	
32.4	312	0.5	0.5	
32.5	313	0.5	0.5	
33	314	0.5	0.5	
33.1	315	0.5	0.5	
33.2	316	0.5	0.5	
33.3	317	0.5	0.5	
33.4	318	0.5	0.5	
33.5	319	0.5	0.5	
34	320	0.5	0.5	
34.1	321	0.5	0.5	
34.2	322	0.5	0.5	
34.3	323	0.5	0.5	
34.4	324	0.5	0.5	
