Version	GMID-X v 1.0			
Chemistry Kit	Yfiler_Plus_v3			
BinSet Name	Yfiler_Plus_Bins_v3			
Panel Name	Yfiler_Plus_Panel_v3			
Marker Name	DYS576			
9	69	0.5	0.5	virtual
10	73	0.5	0.5	
11	77	0.5	0.5	
12	81	0.5	0.5	
13	85	0.5	0.5	
14	89	0.5	0.5	
15	93	0.5	0.5	
16	97	0.5	0.5	
17	101	0.5	0.5	
18	105	0.5	0.5	
19	109	0.5	0.5	
20	113	0.5	0.5	
21	117	0.5	0.5	
22	121	0.5	0.5	
23	125	0.5	0.5	
24	129	0.5	0.5	
25	133	0.5	0.5	
26	137	0.5	0.5	virtual
Marker Name	DYS389I			
8	143	0.5	0.5	virtual
9	147	0.5	0.5	
10	151	0.5	0.5	
11	155	0.5	0.5	
12	159	0.5	0.5	
12.2	161	0.5	0.45	virtual
12.3	162	0.45	0.4	virtual
13	163	0.5	0.5	
13.3	166	0.5	0.5	virtual
14	167	0.5	0.5	
15	171	0.5	0.5	
16	175	0.5	0.5	
17	179	0.5	0.5	
18	183	0.5	0.5	virtual
Marker Name	DYS635			
14	188	0.5	0.5	virtual
15	192	0.5	0.5	
16	196	0.5	0.5	
17	200	0.5	0.5	
18	204	0.5	0.5	
18.3	207	0.5	0.4	virtual
19	208	0.5	0.5	
20	212	0.5	0.5	
20.1	213	0.4	0.5	virtual
20.3	215	0.5	0.4	virtual
21	216	0.5	0.5	
21.3	219	0.5	0.4	virtual
22	220	0.5	0.5	
23	224	0.5	0.5	
23.1	225	0.4	0.5	virtual
24	228	0.5	0.5	
25	232	0.5	0.5	
26	236	0.5	0.5	
27	240	0.5	0.5	
28	244	0.5	0.5	
28.2	246	0.5	0.5	virtual
29	248	0.5	0.5	
30	252	0.5	0.5	
31	256	0.5	0.5	virtual
Marker Name	DYS389II			
23	261	0.5	0.5	virtual
24	265	0.4	0.4	
25	269	0.4	0.4	
26	273	0.5	0.5	
27	277	0.5	0.5	
28	281	0.5	0.5	
28.2	283	0.5	0.5	virtual
29	285	0.5	0.5	
29.3	288	0.5	0.4	virtual
30	289	0.5	0.5	
31	293	0.5	0.5	
31.1	294	0.4	0.5	virtual
32	297	0.5	0.5	
33	301	0.5	0.5	
34	305	0.5	0.5	
35	309	0.5	0.5	
36	313	0.5	0.5	virtual
Marker Name	DYS627			
10	321	0.5	0.5	virtual
11	325	0.5	0.5	
12	329	0.5	0.5	
13	333	0.5	0.5	
14	337	0.5	0.5	
15	341	0.5	0.5	
16	345	0.5	0.5	
17	349	0.5	0.5	
17.2	351	0.5	0.5	virtual
18	353	0.5	0.5	
18.2	355	0.5	0.5	virtual
19	357	0.5	0.5	
19.2	359	0.5	0.5	virtual
20	361	0.5	0.5	
20.1	362	0.4	0.45	virtual
20.2	363	0.45	0.5	virtual
21	365	0.5	0.5	
21.2	367	0.5	0.5	virtual
22	369	0.5	0.5	
23	373	0.5	0.5	
24	377	0.5	0.5	
25	381	0.5	0.5	
25.2	383	0.5	0.5	virtual
26	385	0.5	0.5	
27	389	0.5	0.5	
28	393	0.5	0.5	virtual
Marker Name	DYS460			
6	76	0.5	0.5	virtual
7	80	0.5	0.5	
8	84	0.5	0.5	
9	88	0.5	0.5	
10	92	0.5	0.5	
11	96	0.5	0.5	
12	100	0.5	0.5	
13	104	0.5	0.5	
14	108	0.5	0.5	
15	112	0.5	0.5	virtual
Marker Name	DYS458			
10	116	0.5	0.5	virtual
10.3	119	0.5	0.4	virtual
11	120	0.5	0.5	
12	124	0.5	0.5	
12.2	126	0.5	0.5	virtual
13	128	0.5	0.5	
14	132	0.5	0.5	
14.1	133	0.4	0.45	virtual
14.2	134	0.45	0.5	virtual
15	136	0.5	0.5	
15.1	137	0.4	0.45	virtual
15.2	138	0.45	0.5	virtual
16	140	0.5	0.5	
16.1	141	0.4	0.45	virtual
16.2	142	0.45	0.45	virtual
16.3	143	0.45	0.4	virtual
17	144	0.5	0.5	
17.1	145	0.4	0.45	virtual
17.2	146	0.45	0.45	virtual
17.3	147	0.45	0.4	virtual
18	148	0.5	0.5	
18.1	149	0.4	0.45	virtual
18.2	150	0.45	0.45	virtual
18.3	151	0.45	0.4	virtual
19	152	0.5	0.5	
19.1	153	0.4	0.45	virtual
19.2	154	0.45	0.5	virtual
20	156	0.5	0.5	
20.2	158	0.5	0.5	virtual
21	160	0.5	0.5	
21.2	162	0.5	0.5	virtual
22	164	0.5	0.5	
22.2	166	0.5	0.5	virtual
23	168	0.5	0.5	
23.2	170	0.5	0.5	virtual
24	172	0.5	0.5	
25	176	0.5	0.5	virtual
Marker Name	DYS19			
8	181	0.5	0.5	virtual
9	185	0.5	0.5	
10	189	0.5	0.5	
11	193	0.5	0.5	
12	197	0.5	0.5	
13	201	0.5	0.5	
13.2	203	0.5	0.5	virtual
14	205	0.5	0.5	
14.1	206	0.4	0.45	virtual
14.2	207	0.45	0.45	virtual
14.3	208	0.45	0.4	virtual
15	209	0.5	0.5	
15.2	211	0.5	0.5	virtual
16	213	0.5	0.5	
16.2	215	0.5	0.5	virtual
17	217	0.5	0.5	
18	221	0.5	0.5	
19	225	0.5	0.5	
20	229	0.5	0.5	virtual
Marker Name	Y-GATA-H4			
