Version	GMID-X v 1.2
Chemistry Kit	NetBio_Panels_IDX_v1.2
BinSet Name	NetBio_Bins_IDX_v1.2
Panel Name	NetBio_Panels_IDX_v1.2
Marker Name	AMEL
1	91.58	0.5	0.5	
2	97.36	0.5	0.5	
Marker Name	D3S1358
8	103.46	0.5	0.5	virtual
9	107.46	0.5	0.5	
10	111.76	0.5	0.5	
11	116.01	0.5	0.5	
12	120.3	0.5	0.5	
13	124.49	0.5	0.5	
14	128.63	0.5	0.5	
14.3	131.63	0.5	0.4	virtual
15	132.82	0.4	0.4	
15.1	133.82	0.4	0.4	virtual
15.2	134.82	0.4	0.4	virtual
15.3	135.82	0.4	0.4	virtual
16	136.96	0.4	0.5	
16.2	138.96	0.5	0.5	virtual
17	141.05	0.5	0.4	
17.1	142.05	0.4	0.4	virtual
17.2	143.05	0.4	0.5	virtual
18	145.2	0.5	0.4	
18.1	146.3	0.4	0.4	virtual
18.2	147.3	0.4	0.4	virtual
18.3	148.33	0.4	0.4	virtual
19	149.3	0.4	0.5	
20	153.5	0.5	0.4	
20.1	154.5	0.4	0.5	virtual
21	157.5	0.5	0.5	virtual
Marker Name	D1S1656
8	162.57	0.5	0.5	virtual
9	166.57	0.5	0.5	
10	170.58	0.5	0.5	
11	174.48	0.5	0.5	
12	178.43	0.5	0.5	
13	182.53	0.5	0.5	
13.3	185.44	0.5	0.4	virtual
14	186.44	0.4	0.5	
14.3	189.46	0.5	0.4	
15	190.41	0.4	0.5	
15.3	193.42	0.5	0.4	
16	194.36	0.4	0.5	
16.2	196.36	0.5	0.4	virtual
16.3	197.36	0.4	0.4	
17	198.3	0.4	0.5	
17.1	199.3	0.4	0.5	virtual
17.3	201.36	0.5	0.4	
18	202.29	0.4	0.5	
18.3	205.34	0.5	0.4	
19	206.19	0.4	0.5	
19.3	209.23	0.5	0.5	
20.3	213.19	0.5	0.4	
21	214.19	0.5	0.5	virtual
Marker Name	D2S441
8	219.4	0.5	0.5	
9	223.41	0.5	0.4	
9.1	224.41	0.4	0.5	virtual
10	227.43	0.5	0.4	
10.1	228.43	0.4	0.5	virtual
11	231.52	0.5	0.5	
11.3	234.5	0.5	0.4	
12	235.6	0.4	0.5	
12.3	238.7	0.5	0.4	virtual
13	239.7	0.4	0.4	
13.1	240.7	0.4	0.5	virtual
13.3	242.77	0.5	0.4	virtual
14	243.77	0.4	0.5	
14.3	246.84	0.5	0.4	virtual
15	247.84	0.4	0.5	
16	251.91	0.5	0.5	
17	255.97	0.5	0.5	
Marker Name	D10S1248
8	260.94	0.5	0.5	
9	264.81	0.5	0.5	
10	268.68	0.5	0.5	
11	272.54	0.5	0.5	
12	276.38	0.5	0.5	
13	280.18	0.5	0.5	
14	283.99	0.5	0.5	
15	287.79	0.5	0.5	
16	291.59	0.5	0.5	
17	295.39	0.5	0.5	
18	299.19	0.5	0.5	
19	303.01	0.5	0.5	
Marker Name	D13S317
5	310.61	0.5	0.5	
6	314.55	0.5	0.5	
7	318.57	0.5	0.4	
7.1	319.57	0.4	0.5	virtual
8	322.52	0.5	0.4	
8.1	323.52	0.4	0.5	virtual
9	326.49	0.5	0.5	
10	330.46	0.5	0.5	
11	334.45	0.5	0.5	
12	338.36	0.5	0.5	
12.3	341.37	0.5	0.4	virtual
13	342.37	0.4	0.5	
13.3	345.3	0.5	0.4	virtual
14	346.3	0.4	0.5	
15	350.25	0.5	0.5	
16	354.21	0.5	0.5	
17	358.18	0.5	0.5	
Marker Name	Penta E
4	367.33	0.5	0.5	virtual
5	372.33	0.5	0.5	
6	377.08	0.5	0.5	
7	381.86	0.5	0.5	
8	386.57	0.5	0.5	
9	391.23	0.5	0.5	
10	395.91	0.5	0.5	
11	400.53	0.5	0.5	
11.4	404.05	0.5	0.4	virtual
12	405.05	0.4	0.5	
13	409.7	0.5	0.5	
14	414.3	0.5	0.5	
14.2	416.3	0.5	0.5	virtual
15	418.85	0.5	0.5	
15.2	420.85	0.5	0.5	virtual
16	423.34	0.5	0.5	
16.4	427.02	0.5	0.4	virtual
17	428.02	0.4	0.5	
17.4	431.67	0.5	0.4	virtual
18	432.67	0.4	0.5	
19	437.26	0.5	0.5	
20	441.9	0.5	0.5	
21	446.37	0.5	0.5	
22	450.86	0.5	0.5	
23	455.3	0.5	0.5	
24	459.7	0.5	0.5	
25	464.04	0.5	0.5	
26	469.04	0.5	0.5	virtual
Marker Name	D16S539
4	86.25	0.5	0.5	
5	90.43	0.5	0.5	
6	94.66	0.5	0.5	
7	98.83	0.5	0.5	
8	103.0	0.5	0.5	
8.3	106.25	0.5	0.4	virtual
9	107.25	0.4	0.5	
9.3	110.45	0.5	0.4	virtual
10	111.45	0.4	0.5	
10.3	114.7	0.5	0.4	virtual
11	115.7	0.4	0.5	
11.3	119.0	0.5	0.4	virtual
12	120.0	0.4	0.4	
12.1	121.0	0.4	0.4	virtual
12.2	122.0	0.4	0.5	virtual
13	124.0	0.5	0.5	
13.3	127.14	0.5	0.4	virtual
14	128.14	0.4	0.5	
15	132.24	0.5	0.5	
16	136.29	0.5	0.5	
Marker Name	D18S51
7	141.81	0.5	0.5	
8	145.96	0.5	0.5	
9	150.16	0.5	0.5	
9.2	152.16	0.5	0.5	virtual
10	154.33	0.5	0.5	
10.2	156.35	0.5	0.5	
11	158.45	0.5	0.5	
11.2	160.45	0.5	0.5	virtual
12	162.33	0.5	0.5	
12.2	164.66	0.5	0.4	virtual
12.3	165.66	0.4	0.4	virtual
13	166.66	0.4	0.4	
13.1	167.66	0.4	0.4	virtual
13.2	168.72	0.4	0.4	
13.3	169.76	0.4	0.4	virtual
14	170.76	0.4	0.5	
14.2	172.76	0.5	0.5	virtual
15	174.92	0.5	0.5	
15.2	176.95	0.5	0.4	virtual
15.3	177.95	0.4	0.4	virtual
16	178.95	0.4	0.4	
16.1	179.95	0.4	0.4	virtual
16.2	180.95	0.4	0.4	virtual
16.3	181.95	0.4	0.4	virtual
17	183.05	0.4	0.5	
17.2	185.05	0.5	0.4	virtual
17.3	186.05	0.4	0.4	virtual
18	187.13	0.4	0.4	
18.1	188.13	0.4	0.4	virtual
18.2	189.13	0.4	0.5	virtual
19	191.27	0.5	0.5	
19.2	193.27	0.5	0.5	virtual
20	195.31	0.5	0.5	
20.2	197.31	0.5	0.5	virtual
21	199.4	0.5	0.4	
21.1	200.4	0.4	0.4	virtual
21.2	201.4	0.4	0.5	virtual
22	203.56	0.5	0.5	
22.2	205.56	0.5	0.5	virtual
23	207.62	0.5	0.5	
23.2	209.62	0.5	0.5	virtual
24	211.76	0.5	0.5	
24.2	213.76	0.5	0.5	virtual
25	215.88	0.5	0.5	
26	219.9	0.5	0.5	
27	224.0	0.5	0.5	
Marker Name	D2S1338
10	229.27	0.5	0.5	
11	233.27	0.5	0.5	virtual
12	237.36	0.5	0.5	
13	241.52	0.5	0.5	virtual
14	245.52	0.5	0.5	
15	249.59	0.5	0.5	
16	253.57	0.5	0.5	
17	257.63	0.5	0.5	
18	261.68	0.5	0.5	
18.3	264.72	0.5	0.4	virtual
19	265.72	0.4	0.5	
19.3	268.75	0.5	0.4	virtual
20	269.75	0.4	0.5	
21	273.85	0.5	0.5	
22	277.84	0.5	0.5	
22.2	279.84	0.5	0.5	virtual
23	281.8	0.5	0.5	
23.2	283.77	0.5	0.4	virtual
23.3	284.77	0.4	0.4	virtual
24	285.77	0.4	0.5	
24.2	287.77	0.5	0.5	virtual
25	289.82	0.5	0.5	
26	293.86	0.5	0.5	
27	297.74	0.5	0.5	
28	301.79	0.5	0.5	
29	305.79	0.5	0.5	virtual
Marker Name	CSF1PO
5	321.78	0.5	0.5	
6	325.74	0.5	0.5	
7	329.71	0.5	0.5	
7.3	332.7	0.5	0.4	virtual
8	333.7	0.4	0.4	
8.1	334.7	0.4	0.5	virtual
8.3	336.69	0.5	0.4	virtual
9	337.69	0.4	0.4	
9.1	338.69	0.4	0.5	virtual
10	341.7	0.5	0.4	
10.1	342.7	0.4	0.4	virtual
10.2	343.63	0.4	0.4	virtual
10.3	344.63	0.4	0.4	virtual
11	345.63	0.4	0.4	
11.1	346.63	0.4	0.5	virtual
11.3	348.66	0.5	0.4	virtual
12	349.66	0.4	0.4	
12.1	350.66	0.4	0.5	virtual
12.3	352.62	0.5	0.4	virtual
13	353.62	0.4	0.5	
13.3	356.58	0.5	0.4	virtual
14	357.58	0.4	0.5	
15	361.4	0.5	0.5	
16	365.57	0.5	0.5	
Marker Name	D6S1043
7	371.3	0.5	0.5	
8	375.26	0.5	0.5	
9	379.33	0.5	0.5	
10	383.43	0.5	0.5	
11	387.54	0.5	0.5	
12	391.5	0.5	0.5	
12.3	394.56	0.5	0.4	virtual
13	395.56	0.5	0.5	
14	399.55	0.5	0.5	
15	403.45	0.5	0.5	
16	407.46	0.5	0.5	
17	411.5	0.5	0.5	
17.2	413.57	0.5	0.4	virtual
17.3	414.57	0.5	0.4	virtual
18	415.57	0.5	0.5	
18.2	417.57	0.5	0.5	virtual
19	419.49	0.5	0.5	
