Version	GMID-X v 1.4
Kit type:	MICROSATELLITE
Chemistry Kit	NetBio_Panels_IDX_v1.2	null
Panel	NetBio_Panels_IDX_v1.2	null
AMEL	blue	80.0	98.3	1,2	6	none	1, 2, 
D3S1358	blue	102.4	158.5	17,18	4	none	9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 
D1S1656	blue	161.57	215.1	12,13	4	none	9, 10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18, 18.3, 19, 19.3, 20.3, 
D2S441	blue	218.4	257.0	10,14	4	none	8, 9, 10, 11, 11.3, 12, 13, 14, 15, 16, 17, 
D10S1248	blue	259.9	304.1	13,15	4	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D13S317	blue	309.61	359.18	9,11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 
Penta E	blue	366.33	482.0	7,14	5	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
D16S539	Green	85.25	137.29	9,13	4	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D18S51	green	140.81	225.0	16,18	4	none	7, 8, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
D2S1338	green	228.27	307.0	22,25	4	none	10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
CSF1PO	green	313.0	366.57	12	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D6S1043	green	370.3	450.0	12,20	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
TH01	yellow	75.0	123.2	6,9.3	4	none	3, 4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3, 
vWA	yellow	131.0	193.0	16,19	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 
D21S11	yellow	205.38	268.91	29,31.2	4	none	24, 24.2, 25, 25.2, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38, 
D7S820	yellow	274.1	320.3	8,11	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D5S818	yellow	321.3	379.0	12	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
TPOX	yellow	390.0	446.0	11	4	none	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
DYS391	yellow	449.38	495.25	10	4	none	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
D8S1179	red	77.13	138.21	14,15	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D12S391	red	135.24	193.9	18,23	4	none	14, 15, 16, 17, 17.3, 18, 18.3, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
D19S433	red	198.83	255.0	13,14	4	none	5.2, 6.2, 8, 9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 18, 18.2, 
SE33	red	281.05	429.0	15,16	4	none	4.2, 6.3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 20.2, 21, 21.2, 22, 22.2, 23.2, 24.2, 25.2, 26.2, 27.2, 28.2, 29.2, 30.2, 31.2, 32.2, 33.2, 34.2, 35, 36, 37, 39, 
D22S1045	Purple	70.0	126.19	16	3	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 
FGA	Purple	134.0	307.12	20,23	4	none	14, 15, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23, 23.2, 24, 24.2, 25, 25.2, 26, 27, 28, 29, 30, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 48.2, 50.2, 
DYS576	Purple	308.97	363.77	18	4	none	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 
DYS570	Purple	390.83	464.0	17	4	none	10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
