Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
BinSet Name	PowerPlex_Fusion_6C_Bins_IDX_v1.2			
Panel Name	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
Marker Name	AMEL			
X	81.5	0.5	0.5	
Y	87.68	0.5	0.5	
Marker Name	D3S1358			
8	93.47	0.5	0.5	virtual
9	97.82	0.5	0.5	
10	102.13	0.5	0.5	
11	106.49	0.5	0.5	
12	110.84	0.5	0.5	
13	115.18	0.5	0.5	
14	119.49	0.5	0.5	
14.3	122.69	0.5	0.4	virtual
15	123.76	0.4	0.4	
15.1	124.82	0.4	0.4	virtual
15.2	125.87	0.4	0.4	virtual
15.3	126.93	0.4	0.4	virtual
16	127.98	0.4	0.5	
16.2	130.09	0.5	0.5	virtual
17	132.2	0.5	0.4	
17.1	133.27	0.4	0.4	virtual
17.2	134.34	0.4	0.5	virtual
18	136.47	0.5	0.4	
18.1	137.51	0.4	0.4	virtual
18.2	138.55	0.4	0.4	virtual
18.3	139.58	0.4	0.4	virtual
19	140.62	0.4	0.5	
20	144.83	0.5	0.4	
20.1	145.89	0.4	0.5	virtual
21	149.06	0.5	0.5	virtual
Marker Name	D1S1656			
8	154.33	0.5	0.5	virtual
9	158.44	0.5	0.5	
10	162.56	0.5	0.5	
11	166.64	0.5	0.5	
12	170.75	0.5	0.5	
13	174.88	0.5	0.5	
13.3	177.93	0.5	0.4	virtual
14	178.95	0.4	0.5	
14.3	182.04	0.5	0.4	
15	183	0.4	0.5	
15.3	186.12	0.5	0.4	
16	187.06	0.4	0.5	
16.2	189.13	0.5	0.4	virtual
16.3	190.17	0.4	0.4	
17	191.13	0.4	0.5	
17.1	192.16	0.4	0.5	virtual
17.3	194.22	0.5	0.4	
18	195.16	0.4	0.5	
18.3	198.27	0.5	0.4	
19	199.23	0.4	0.5	
19.3	202.33	0.5	0.5	
20.3	206.37	0.5	0.4	
21	207.38	0.5	0.5	virtual
Marker Name	D2S441			
8	212.83	0.5	0.5	
9	216.91	0.5	0.4	
9.1	217.93	0.4	0.5	virtual
10	220.98	0.5	0.4	
10.1	222.01	0.4	0.5	virtual
11	225.08	0.5	0.5	
11.3	228.14	0.5	0.4	
12	229.2	0.4	0.5	
12.3	232.29	0.5	0.4	virtual
13	233.32	0.4	0.4	
13.1	234.35	0.4	0.5	virtual
13.3	236.41	0.5	0.4	virtual
14	237.44	0.4	0.5	
14.3	240.54	0.5	0.4	virtual
15	241.57	0.4	0.5	
16	245.7	0.5	0.5	
17	249.82	0.5	0.5	
Marker Name	D10S1248			
8	256.56	0.5	0.5	
9	260.63	0.5	0.5	
10	264.66	0.5	0.5	
11	268.7	0.5	0.5	
12	272.74	0.5	0.5	
13	276.76	0.5	0.5	
14	280.71	0.5	0.5	
15	284.65	0.5	0.5	
16	288.55	0.5	0.5	
17	292.49	0.5	0.5	
18	296.45	0.5	0.5	
19	300.38	0.5	0.5	
Marker Name	D13S317			
5	306.11	0.5	0.5	
6	310.15	0.5	0.5	
7	314.19	0.5	0.4	
7.1	315.21	0.4	0.5	virtual
8	318.25	0.5	0.4	
8.1	319.27	0.4	0.5	virtual
9	322.32	0.5	0.5	
10	326.4	0.5	0.5	
11	330.5	0.5	0.5	
12	334.6	0.5	0.5	
12.3	337.68	0.5	0.4	virtual
13	338.7	0.4	0.5	
13.3	341.76	0.5	0.4	virtual
14	342.78	0.4	0.5	
15	346.86	0.5	0.5	
16	350.9	0.5	0.5	
17	354.89	0.5	0.5	
Marker Name	Penta E			
4	364.17	0.5	0.5	virtual
5	368.98	0.5	0.5	
6	373.79	0.5	0.5	
7	378.65	0.5	0.5	
8	383.54	0.5	0.5	
