Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v1.0			
BinSet Name	PowerPlex_Fusion_Bins_IDX_v1.0			
Panel Name	PowerPlex_Fusion_Panels_IDX_v1.0			
Marker Name	AMEL			
1	83.86	0.5	0.5	
2	89.61	0.5	0.5	
Marker Name	D3S1358			
8	93.91	0.5	0.5	virtual
9	98.05	0.5	0.5	
10	102.16	0.5	0.5	
11	106.3	0.5	0.5	
12	110.45	0.5	0.5	
13	114.58	0.5	0.5	
14	118.74	0.5	0.5	
14.3	121.82	0.5	0.5	virtual
15	122.84	0.4	0.5	
15.1	123.86	0.4	0.5	virtual
15.2	124.89	0.4	0.5	virtual
15.3	125.91	0.4	0.5	virtual
16	126.93	0.4	0.5	
16.2	128.96	0.5	0.5	virtual
17	130.99	0.5	0.5	
17.1	132.02	0.4	0.5	virtual
17.2	133.06	0.4	0.5	virtual
18	135.12	0.5	0.5	
18.1	136.13	0.4	0.5	virtual
18.2	137.15	0.4	0.5	virtual
18.3	138.16	0.4	0.5	virtual
19	139.17	0.4	0.5	
20	143.25	0.5	0.5	
20.1	144.27	0.4	0.5	virtual
21	147.34	0.5	0.5	virtual
Marker Name	D1S1656			
8	153.54	0.5	0.5	virtual
9	157.55	0.5	0.5	
10	161.58	0.5	0.5	
11	165.58	0.5	0.5	
12	169.58	0.5	0.5	
13	173.63	0.5	0.5	
13.3	176.62	0.5	0.45	virtual
14	177.61	0.4	0.5	
14.3	180.66	0.5	0.45	
15	181.59	0.4	0.5	
15.3	184.65	0.5	0.45	
16	185.57	0.4	0.5	
16.2	187.62	0.5	0.45	virtual
16.3	188.64	0.4	0.45	
17	189.57	0.4	0.45	
17.1	190.56	0.4	0.5	virtual
17.3	192.63	0.5	0.45	
18	193.54	0.4	0.5	
18.3	196.61	0.5	0.45	
19	197.55	0.4	0.5	
19.3	200.6	0.5	0.5	
20.3	204.61	0.5	0.45	
21	205.61	0.4	0.5	virtual
Marker Name	D2S441			
8	208.73	0.5	0.5	
9	212.76	0.5	0.5	
10	216.79	0.5	0.5	
10.1	217.8	0.4	0.5	virtual
11	220.84	0.5	0.5	
11.3	223.84	0.5	0.5	
12	224.86	0.4	0.5	
12.3	227.94	0.5	0.5	virtual
13	228.96	0.4	0.5	
13.3	232.02	0.5	0.5	virtual
14	233.04	0.4	0.5	
14.3	236.1	0.5	0.5	virtual
15	237.12	0.4	0.5	
16	241.2	0.5	0.5	
17	245.29	0.5	0.5	
Marker Name	D10S1248			
8	249.97	0.5	0.5	
9	254.04	0.5	0.5	
10	258.06	0.5	0.5	
11	262.07	0.5	0.5	
12	266.08	0.5	0.5	
13	270.05	0.5	0.5	
14	274.06	0.5	0.5	
15	278.01	0.5	0.5	
16	281.91	0.5	0.5	
17	285.82	0.5	0.5	
18	289.72	0.5	0.5	
19	293.59	0.5	0.5	
Marker Name	D13S317			
5	296.85	0.5	0.5	
6	300.81	0.5	0.5	
7	304.83	0.5	0.5	
7.1	305.84	0.4	0.5	virtual
8	308.86	0.5	0.5	
8.1	309.86	0.4	0.5	virtual
9	312.86	0.5	0.5	
10	316.89	0.5	0.5	
11	320.94	0.5	0.5	
12	324.93	0.5	0.5	
12.3	328.02	0.5	0.5	virtual
13	329.05	0.4	0.5	
13.3	332.12	0.5	0.5	virtual
14	333.14	0.4	0.5	
15	337.21	0.5	0.5	
16	341.26	0.5	0.5	
17	345.32	0.5	0.5	
Marker Name	Penta E			
4	360.63	0.5	0.5	virtual
5	365.51	0.5	0.5	
6	370.29	0.5	0.5	
7	375.04	0.5	0.5	
8	379.96	0.5	0.5	
9	384.84	0.5	0.5	
10	389.7	0.5	0.5	
11	394.54	0.5	0.5	
11.4	398.43	0.5	0.5	virtual
12	399.4	0.4	0.5	
13	404.21	0.5	0.5	
14	408.99	0.5	0.5	
14.2	410.9	0.5	0.5	virtual
15	413.76	0.5	0.5	
15.2	415.65	0.5	0.5	virtual
16	418.49	0.5	0.5	
16.4	422.35	0.5	0.5	virtual
17	423.32	0.4	0.5	
17.4	427.25	0.5	0.5	virtual
18	428.23	0.4	0.5	
19	433.21	0.5	0.5	
20	438.18	0.5	0.5	
21	443.09	0.5	0.5	
22	448.13	0.5	0.5	
23	452.99	0.5	0.5	
24	457.78	0.5	0.5	
25	462.46	0.5	0.5	virtual
Marker Name	D16S539			
4	77.94	0.5	0.5	
5	82.01	0.5	0.5	
6	86.09	0.5	0.5	
7	90.18	0.5	0.5	
8	94.27	0.5	0.5	
8.3	97.35	0.5	0.5	virtual
9	98.38	0.4	0.5	
9.3	101.49	0.5	0.5	virtual
10	102.52	0.4	0.5	
10.3	105.66	0.5	0.5	virtual
11	106.7	0.4	0.5	
11.3	109.84	0.5	0.5	virtual
12	110.88	0.4	0.5	
12.1	111.92	0.4	0.5	virtual
13	115.04	0.5	0.5	
13.3	118.18	0.5	0.5	virtual
14	119.22	0.4	0.5	
15	123.33	0.5	0.5	
16	127.41	0.5	0.4	
Marker Name	D18S51			
7	130.46	0.4	0.5	
8	134.54	0.5	0.5	
9	138.62	0.5	0.5	
9.2	140.67	0.5	0.5	virtual
10	142.71	0.5	0.5	
10.2	144.73	0.5	0.5	
11	146.8	0.5	0.5	
11.2	148.85	0.5	0.5	virtual
12	150.89	0.5	0.5	
12.2	152.93	0.5	0.5	virtual
12.3	153.95	0.4	0.5	virtual
13	154.97	0.4	0.5	
13.1	155.98	0.4	0.5	virtual
13.2	156.99	0.4	0.5	
13.3	158.02	0.4	0.5	virtual
14	159.04	0.4	0.5	
14.2	161.07	0.5	0.5	virtual
15	163.09	0.5	0.5	
15.2	165.11	0.5	0.5	virtual
15.3	166.11	0.4	0.5	virtual
16	167.12	0.4	0.5	
16.1	168.13	0.4	0.5	virtual
16.2	169.14	0.4	0.5	virtual
16.3	170.14	0.4	0.5	virtual
17	171.15	0.4	0.5	
17.2	173.15	0.5	0.5	virtual
17.3	174.14	0.4	0.5	virtual
18	175.14	0.4	0.5	
18.1	176.15	0.4	0.5	virtual
18.2	177.15	0.4	0.5	virtual
19	179.16	0.5	0.5	
19.2	181.17	0.5	0.5	virtual
20	183.18	0.5	0.5	
20.2	185.19	0.5	0.5	virtual
21	187.2	0.5	0.5	
21.1	188.21	0.4	0.5	virtual
21.2	189.22	0.4	0.5	virtual
22	191.23	0.5	0.5	
22.2	193.24	0.5	0.5	virtual
23	195.24	0.5	0.5	
24	199.28	0.5	0.5	
24.2	201.3	0.5	0.5	virtual
25	203.31	0.5	0.5	
26	207.34	0.5	0.5	
27	211.38	0.5	0.5	
Marker Name	D2S1338			
10	220.06	0.5	0.5	
11	224.08	0.5	0.5	virtual
12	228.09	0.5	0.5	
13	232.13	0.5	0.5	virtual
14	236.17	0.5	0.5	
15	240.22	0.5	0.5	
16	244.25	0.5	0.5	
17	248.33	0.5	0.5	
18	252.4	0.5	0.5	
18.3	255.45	0.5	0.5	virtual
19	256.47	0.4	0.5	
19.3	259.54	0.5	0.5	virtual
20	260.56	0.4	0.5	
21	264.6	0.5	0.5	
22	268.63	0.5	0.5	
22.2	270.66	0.5	0.5	virtual
23	272.68	0.5	0.5	
23.2	274.68	0.5	0.5	virtual
23.3	275.68	0.4	0.5	virtual
24	276.68	0.4	0.5	
24.2	278.67	0.5	0.5	virtual
25	280.66	0.5	0.5	
26	284.6	0.5	0.5	
27	288.55	0.5	0.5	
28	292.49	0.5	0.5	
Marker Name	CSF1PO			
5	313.98	0.5	0.5	
6	317.99	0.5	0.5	
7	322.04	0.5	0.5	
7.3	325.07	0.5	0.5	virtual
8	326.08	0.4	0.5	
8.1	327.11	0.4	0.5	virtual
8.3	329.16	0.5	0.5	virtual
9	330.18	0.4	0.5	
9.1	331.2	0.4	0.5	virtual
10	334.25	0.5	0.5	
10.1	335.27	0.4	0.5	virtual
10.2	336.3	0.4	0.5	virtual
10.3	337.32	0.4	0.5	virtual
11	338.34	0.4	0.5	
11.1	339.35	0.4	0.5	virtual
11.3	341.37	0.5	0.5	virtual
12	342.38	0.4	0.5	
12.1	343.4	0.4	0.5	virtual
12.3	345.43	0.5	0.5	virtual
13	346.45	0.4	0.5	
13.3	349.48	0.5	0.5	virtual
14	350.49	0.4	0.5	
15	354.5	0.5	0.5	
16	358.49	0.5	0.5	
Marker Name	Penta D			
2.2	375.41	0.5	0.5	
3.2	380.57	0.5	0.5	
5	388.75	0.5	0.5	
6	393.82	0.5	0.5	
6.4	397.92	0.5	0.5	virtual
7	398.94	0.4	0.5	
7.4	402.98	0.5	0.5	virtual
8	403.99	0.4	0.5	
8.2	405.99	0.5	0.5	virtual
9	409	0.5	0.5	
9.2	410.99	0.5	0.5	virtual
9.4	412.98	0.5	0.5	virtual
10	413.98	0.4	0.5	
11	418.96	0.5	0.5	
11.1	419.97	0.4	0.5	virtual
11.2	420.97	0.4	0.5	virtual
12	423.99	0.5	0.5	
