Version	GMID-X v 1.0			
Chemistry Kit	PowerPlexY23_Panels_IDX_v1.2			
BinSet Name	PowerPlexY23_Bins_IDX_v1.2			
Panel Name	PowerPlexY23_IDX_v1.2			
Marker Name	DYS576			
10	84.33	0.5	0.5	virtual
11	88.32	0.5	0.5	
12	92.28	0.5	0.5	
13	96.22	0.5	0.5	
14	100.18	0.5	0.5	
15	104.22	0.5	0.5	
16	108.26	0.5	0.5	
17	112.3	0.5	0.5	
18	116.31	0.5	0.5	
19	120.35	0.5	0.5	
20	124.32	0.5	0.5	
21	128.26	0.5	0.5	
22	132.2	0.5	0.5	
23	136.14	0.5	0.5	
24	140.24	0.5	0.5	virtual
Marker Name	DYS389I			
9	142.74	0.5	0.5	
10	146.81	0.5	0.5	
11	150.89	0.5	0.5	
12	154.96	0.5	0.5	
13	159.01	0.5	0.5	
13.3	162.03	0.5	0.4	virtual
14	163.04	0.4	0.5	
15	167.06	0.5	0.5	
16	171.06	0.5	0.5	
17	175.07	0.5	0.5	
18	179.16	0.5	0.5	virtual	
Marker Name	DYS448		
13	185.25	0.5	0.5	virtual		
14	191.32	0.5	0.5	
15	197.29	0.5	0.5	
15.2	199.28	0.5	0.5	virtual
16	203.25	0.5	0.5	
16.2	205.25	0.5	0.5	virtual
17	209.25	0.5	0.5	
17.2	211.24	0.5	0.5	virtual
17.4	213.24	0.5	0.5	virtual
18	215.23	0.5	0.4	
18.1	216.23	0.4	0.4	virtual
18.2	217.23	0.4	0.4	virtual
18.3	218.23	0.4	0.4	virtual
18.4	219.22	0.4	0.5	virtual
19	221.22	0.5	0.5	
19.2	223.23	0.5	0.4	virtual
19.3	224.24	0.4	0.4	virtual
19.4	225.24	0.4	0.5	virtual
20	227.25	0.5	0.4	
20.1	228.26	0.4	0.4	virtual
20.2	229.27	0.4	0.4	virtual
20.3	230.28	0.4	0.4	virtual
20.4	231.28	0.4	0.5	virtual
21	233.3	0.5	0.5	
21.2	235.32	0.5	0.5	virtual
21.5	238.34	0.5	0.4	virtual
22	239.35	0.4	0.5	
23	245.4	0.5	0.5	
24	251.49	0.5	0.5	
Marker Name	DYS389II			
24	256.45	0.5	0.5	
25	260.53	0.5	0.5	
26	264.6	0.5	0.5	
27	268.66	0.5	0.5	
28	272.74	0.5	0.5	
29	276.8	0.5	0.5	
30	280.87	0.5	0.5	
30.3	283.87	0.5	0.4	virtual
31	284.87	0.4	0.5	
32	288.83	0.5	0.5	
33	292.81	0.5	0.5	
34	296.81	0.5	0.5	
35	300.8	0.5	0.5	
36	304.94	0.5	0.4	virtual
Marker Name	DYS19			
9	307.06	0.4	0.5	
10	311.09	0.5	0.5	
11	315.12	0.5	0.5	
12	319.15	0.5	0.5	
13	323.21	0.5	0.5	
13.2	325.25	0.5	0.5	virtual
14	327.29	0.5	0.4	
14.1	328.32	0.4	0.4	virtual
14.2	329.35	0.4	0.4	virtual
14.3	330.38	0.4	0.4	virtual
15	331.41	0.4	0.5	
15.2	333.46	0.5	0.5	virtual
16	335.5	0.5	0.5	
16.2	337.55	0.5	0.5	virtual
17	339.59	0.5	0.5	
18	343.65	0.5	0.5	
19	347.77	0.5	0.5	
20	351.88	0.5	0.5	virtual	
Marker Name	DYS391		
4	75.59	0.5	0.5	virtual		
5	79.99	0.5	0.5	
6	84.05	0.5	0.5	
7	88.12	0.5	0.5	
8	92.19	0.5	0.5	
8.3	95.26	0.5	0.4	virtual
9	96.28	0.4	0.5	
10	100.37	0.5	0.5	
11	104.55	0.5	0.5	
12	108.71	0.5	0.5	
13	112.87	0.5	0.5	
14	117.04	0.5	0.5	
15	121.2	0.5	0.5	
16	125.28	0.5	0.5	
Marker Name	DYS481			
16	130.03	0.5	0.4	virtual
17	133.01	0.5	0.4	
18	135.94	0.5	0.4	
19	138.92	0.5	0.4	
20	141.88	0.5	0.4	
21	144.85	0.5	0.4	
22	147.82	0.5	0.4	
23	150.79	0.5	0.4	
24	153.75	0.5	0.4	
25	156.7	0.5	0.4	
26	159.65	0.5	0.4	
27	162.59	0.5	0.4	
28	165.53	0.5	0.4	
29	168.44	0.5	0.4	
30	171.37	0.5	0.4	
31	174.29	0.5	0.4	
32	177.19	0.5	0.4	
33	180.24	0.5	0.4	virtual
Marker Name	DYS549			
6	188.03	0.5	0.5	virtual
7	192.05	0.5	0.5	
8	196.05	0.5	0.5	
9	200.03	0.5	0.5	
10	204.08	0.5	0.5	
11	208.09	0.5	0.5	
12	212.11	0.5	0.5	
13	216.13	0.5	0.5	
14	220.16	0.5	0.5	
15	224.2	0.5	0.5	
16	228.26	0.5	0.5	
17	232.31	0.5	0.5	
18	236.29	0.5	0.4	virtual
Marker Name	DYS533			
7	240.71	0.4	0.5	
8	244.77	0.5	0.5	
9	248.84	0.5	0.5	
10	252.93	0.5	0.5	
11	257.02	0.5	0.5	
12	261.08	0.5	0.5	
13	265.14	0.5	0.5	
14	269.18	0.5	0.5	
15	273.27	0.5	0.5	
16	277.27	0.5	0.5	
17	281.26	0.5	0.5	
18	285.4	0.5	0.5	virtual
Marker Name	DYS438		
5	288.07	0.4	0.5	virtual	
6	293.06	0.5	0.5	
7	298.07	0.5	0.5	
8	303.08	0.5	0.5	
8.2	305.1	0.5	0.5	virtual
9	308.12	0.5	0.5	
10	313.16	0.5	0.5	
11	318.19	0.5	0.5	
11.2	320.23	0.5	0.5	virtual
12	323.3	0.5	0.5	
13	328.41	0.5	0.5	
13.2	330.47	0.5	0.5	virtual
14	333.55	0.5	0.4	
14.1	334.57	0.4	0.5	virtual
15	338.65	0.5	0.5	
16	343.75	0.5	0.4	
Marker Name	DYS437			
10	346.79	0.4	0.5	virtual
11	350.76	0.5	0.5	
12	354.78	0.5	0.4	
12.1	355.78	0.4	0.5	virtual
13	358.77	0.5	0.4	
13.1	359.77	0.4	0.4	virtual
13.2	360.77	0.4	0.5	virtual
14	362.76	0.5	0.5	
15	366.73	0.5	0.4	
15.1	367.73	0.4	0.5	virtual
16	370.72	0.5	0.5	
17	374.64	0.5	0.5	
18	378.76	0.5	0.5	
18.2	380.73	0.5	0.5	virtual
19	382.77	0.5	0.5	virtual	
Marker Name	DYS570			
9	83.34	0.5	0.5	virtual
10	87.29	0.5	0.5	
11	91.19	0.5	0.5	
12	95.09	0.5	0.5	
13	99.02	0.5	0.5	
13.2	101.01	0.5	0.5	virtual
14	103	0.5	0.5	
14.2	104.99	0.5	0.5	virtual
15	106.98	0.5	0.5	
16	110.99	0.5	0.5	
17	114.98	0.5	0.5	
17.2	116.98	0.5	0.5	virtual
18	118.98	0.5	0.5	
18.2	120.96	0.5	0.4	virtual
18.3	121.95	0.4	0.4	virtual
19	122.94	0.4	0.5	
19.3	125.89	0.5	0.4	virtual
20	126.87	0.4	0.5	
20.3	129.81	0.5	0.4	virtual
21	130.79	0.4	0.5	
22	134.71	0.5	0.5	
22.2	136.66	0.5	0.5	virtual
23	138.61	0.5	0.5	
24	142.51	0.5	0.5	
25	146.45	0.5	0.5	
Marker Name	DYS635			
15	151.62	0.4	0.5	
16	155.65	0.5	0.5	
17	159.68	0.5	0.5	
18	163.69	0.5	0.5	
18.3	166.68	0.5	0.4	virtual
19	167.67	0.4	0.5	
20	171.66	0.5	0.4	
20.1	172.65	0.4	0.5	virtual
20.3	174.64	0.5	0.4	virtual
21	175.63	0.4	0.5	
21.3	178.61	0.5	0.4	virtual
22	179.6	0.4	0.5	
23	183.59	0.5	0.4	
23.1	184.59	0.4	0.5	virtual
24	187.57	0.5	0.5	
25	191.57	0.5	0.5	
26	195.54	0.5	0.5	
27	199.54	0.5	0.5	
28	203.55	0.5	0.5	
29	207.53	0.5	0.4	virtual
Marker Name	DYS390			
17	208.77	0.4	0.5	
18	212.78	0.5	0.5	
19	216.79	0.5	0.5	
20	220.81	0.5	0.5	
21	224.82	0.5	0.5	
22	228.88	0.5	0.5	
23	232.93	0.5	0.5	
24	236.99	0.5	0.5	
24.3	240.04	0.5	0.4	virtual
25	241.05	0.4	0.5	
26	245.1	0.5	0.5	
27	249.18	0.5	0.5	
28	253.28	0.5	0.5	
29	257.36	0.5	0.4	
Marker Name	DYS439			
5	259.41	0.4	0.5	virtual
6	263.44	0.5	0.5	
7	267.51	0.5	0.5	
8	271.58	0.5	0.5	
9	275.63	0.5	0.5	
10	279.64	0.5	0.4	
10.1	280.64	0.4	0.4	virtual
10.2	281.63	0.4	0.5	virtual
11	283.62	0.5	0.4	
11.1	284.62	0.4	0.5	virtual
11.3	286.61	0.5	0.4	virtual
12	287.6	0.4	0.5	
13	291.58	0.5	0.4	
13.1	292.58	0.4	0.5	virtual
14	295.59	0.5	0.5	
15	299.53	0.5	0.5	
16	303.6	0.5	0.5	
17	307.63	0.5	0.5	
18	311.63	0.5	0.4	virtual
Marker Name	DYS392			
4	314.07	0.4	0.5	
5	317.04	0.5	0.5	
6	320.04	0.5	0.5	
7	323.02	0.5	0.5	
8	326	0.5	0.5	
9	329.03	0.5	0.5	
10	332.07	0.5	0.5	
10.2	334.08	0.5	0.4	virtual
11	335.08	0.4	0.4	
11.1	336.08	0.4	0.4	virtual
11.2	337.09	0.4	0.4	virtual
12	338.09	0.4	0.5	
12.2	340.1	0.5	0.4	virtual
13	341.11	0.4	0.4	
13.1	342.11	0.4	0.4	virtual
13.2	343.1	0.4	0.4	virtual
14	344.1	0.4	0.4	
14.1	345.12	0.4	0.4	virtual
14.2	346.13	0.4	0.4	virtual
15	347.15	0.4	0.5	
16	350.11	0.5	0.5	
17	353.13	0.5	0.5	
18	356.12	0.5	0.5	
19	359.07	0.5	0.5	
20	362.02	0.5	0.5	
Marker Name	DYS643			
5	365.49	0.5	0.5	virtual
6	370.63	0.5	0.5	
7	375.59	0.5	0.5	
8	380.73	0.5	0.5	
9	385.85	0.5	0.5	
10	390.93	0.5	0.5	
11	396.02	0.5	0.4	
11.1	397.04	0.4	0.5	virtual
12	401.1	0.5	0.5	
13	406.09	0.5	0.5	
