Version	GMID-X v 1.0																			
Chemistry Kit	PowerPlex_21_Panels_IDX_v2.0																			
BinSet Name	PowerPlex_21_Bins_IDX_v2.0																			
Panel Name	PowerPlex_21_IDX_v2.0																			
Marker Name	AMEL																			
1	79.34	0.5	0.5																	
2	85.52	0.5	0.5																	
Marker Name	D3S1358																			
8	90.17	0.5	0.5	virtual																
9	94.49	0.5	0.5																	
10	98.81	0.5	0.5																	
11	103.16	0.5	0.5																	
12	107.54	0.5	0.5																	
13	111.87	0.5	0.5																	
14	116.24	0.5	0.5																	
14.3	119.5	0.5	0.4	virtual																
15	120.58	0.4	0.4																	
15.1	121.64	0.4	0.4	virtual																
15.2	122.69	0.4	0.4	virtual																
15.3	123.75	0.4	0.4	virtual																
16	124.8	0.4	0.5																	
16.2	126.93	0.5	0.5	virtual																
17	129.05	0.5	0.4																	
17.1	130.12	0.4	0.4	virtual																
17.2	131.19	0.4	0.5	virtual																
18	133.32	0.5	0.4																	
18.1	134.37	0.4	0.4	virtual																
18.2	135.41	0.4	0.4	virtual																
18.3	136.46	0.4	0.4	virtual																
19	137.5	0.4	0.5																	
20	141.7	0.5	0.4																	
20.1	142.75	0.4	0.5	virtual																
21	145.9	0.5	0.5	virtual																
Marker Name	D1S1656																			
8	152.23	0.5	0.5	virtual																
9	156.37	0.5	0.5																	
10	160.51	0.5	0.5																	
11	164.6	0.5	0.5																	
12	168.68	0.5	0.5																	
13	172.83	0.5	0.5																	
13.3	175.88	0.5	0.4	virtual																
14	176.89	0.4	0.5																	
14.3	179.98	0.5	0.4																	
15	180.95	0.4	0.5																	
15.3	184.05	0.5	0.4																	
16	185.01	0.4	0.5																	
16.2	187.07	0.5	0.4	virtual																
16.3	188.1	0.4	0.4																	
17	189.06	0.4	0.5																	
17.1	190.1	0.4	0.5	virtual																
17.3	192.17	0.5	0.4																	
18	193.12	0.4	0.5																	
18.3	196.23	0.5	0.4																	
19	197.17	0.4	0.5																	
19.3	200.28	0.5	0.5																	
20.3	204.32	0.5	0.4																	
21	205.33	0.4	0.5	virtual																
Marker Name	D6S1043																			
6	206.98	0.5	0.5	virtual																
7	211.05	0.5	0.5																	
8	215.12	0.5	0.5																	
9	219.18	0.5	0.5																	
10	223.25	0.5	0.5																	
11	227.33	0.5	0.5																	
12	231.43	0.5	0.5																	
12.3	234.51	0.5	0.4	virtual																
13	235.53	0.5	0.5																	
14	239.63	0.5	0.5																	
15	243.73	0.5	0.5																	
16	247.85	0.5	0.5																	
17	251.97	0.5	0.5																	
17.2	254.03	0.5	0.4	virtual																
17.3	255.05	0.5	0.4	virtual																
18	256.08	0.5	0.5																	
18.2	258.14	0.5	0.5	virtual																
19	260.19	0.5	0.5																	
19.2	262.25	0.5	0.4	virtual																
19.3	263.27	0.5	0.4	virtual																
20	264.3	0.5	0.5																	
20.3	267.38	0.5	0.4	virtual																
21	268.41	0.5	0.5																	
21.3	271.44	0.5	0.4	virtual																
22	272.45	0.5	0.5																	
22.3	275.5	0.5	0.4	virtual																
23	276.51	0.5	0.5																	
23.3	279.51	0.5	0.4	virtual																
24	280.51	0.5	0.5																	
24.3	283.53	0.5	0.4	virtual																
25	284.53	0.5	0.5																	
26	288.55	0.5	0.5	virtual																
Marker Name	D13S317																			
5	297.55	0.5	0.5																	
6	301.55	0.5	0.5																	
7	305.59	0.5	0.4																	
7.1	306.6	0.5	0.5	virtual																
8	309.62	0.5	0.4																	
8.1	310.63	0.5	0.5	virtual																
9	313.65	0.5	0.5																	
10	317.71	0.5	0.5																	
11	321.78	0.5	0.5																	
12	325.84	0.5	0.5																	
12.3	328.92	0.5	0.4	virtual																
13	329.94	0.5	0.5																	
13.3	333.01	0.5	0.4	virtual																
14	334.03	0.5	0.5																	
15	338.13	0.5	0.5																	
16	342.22	0.5	0.5																	
17	346.31	0.5	0.5																	
Marker Name	Penta E																			
4	361.71	0.5	0.5	virtual																
5	366.52	0.5	0.5																	
6	371.33	0.5	0.5																	
7	376.14	0.5	0.5																	
8	381.02	0.5	0.5																	
9	385.92	0.5	0.5																	
10	390.8	0.5	0.5																	
11	395.7	0.5	0.5																	
11.4	399.6	0.5	0.4	virtual																
12	400.57	0.5	0.5																	
13	405.34	0.5	0.5																	
14	410.12	0.5	0.5																	
14.2	412.03	0.5	0.5	virtual																
15	414.9	0.5	0.5																	
15.2	416.82	0.5	0.5	virtual																
16	419.69	0.5	0.5																	
16.4	423.53	0.5	0.4	virtual																
17	424.49	0.5	0.5																	
17.4	428.47	0.5	0.4	virtual																
18	429.46	0.5	0.5																	
19	434.42	0.5	0.5																	
20	439.41	0.5	0.5																	
21	444.39	0.5	0.5																	
22	449.36	0.5	0.5																	
23	454.18	0.5	0.5																	
24	458.96	0.5	0.5																	
25	463.74	0.5	0.5	virtual																
Marker Name	D16S539																			
4	72.9	0.5	0.5																	
5	77.36	0.5	0.5																	
6	81.76	0.5	0.5																	
7	86.15	0.5	0.5																	
8	90.52	0.5	0.5																	
8.3	93.78	0.5	0.4	virtual																
9	94.87	0.4	0.5																	
9.3	98.11	0.5	0.4	virtual																
10	99.19	0.4	0.5																	
10.3	102.5	0.5	0.4	virtual																
11	103.6	0.4	0.5																	
11.3	106.9	0.5	0.4	virtual																
12	108	0.4	0.4																	
12.1	109.1	0.4	0.4	virtual																
12.2	110.19	0.4	0.5	virtual																
13	112.38	0.5	0.5																	
13.3	115.65	0.5	0.4	virtual																
14	116.74	0.5	0.5																	
15	121.07	0.5	0.5																	
16	125.33	0.5	0.4																	
Marker Name	D18S51																			
7	128.44	0.4	0.5																	
8	132.66	0.5	0.5																	
9	136.88	0.5	0.5																	
9.2	138.99	0.5	0.5	virtual																
10	141.09	0.5	0.5																	
10.2	143.18	0.5	0.5																	
11	145.29	0.5	0.5																	
11.2	147.39	0.5	0.5	virtual																
12	149.49	0.5	0.5																	
12.2	151.59	0.5	0.4	virtual																
12.3	152.63	0.4	0.4	virtual																
13	153.68	0.4	0.4																	
13.1	154.72	0.4	0.4	virtual																
13.2	155.76	0.4	0.4																	
13.3	156.81	0.4	0.4	virtual																
14	157.85	0.4	0.5																	
14.2	159.93	0.5	0.5	virtual																
15	162	0.5	0.5																	
15.2	164.06	0.5	0.4	virtual																
15.3	165.09	0.4	0.4	virtual																
16	166.12	0.4	0.4																	
16.1	167.15	0.4	0.4	virtual																
16.2	168.17	0.4	0.4	virtual																
16.3	169.2	0.4	0.4	virtual																
17	170.22	0.4	0.5																	
