Version	GMID-X v 1.0						
Kit type:	MICROSATELLITE						
Chemistry Kit	PowerPlex_ESX_Panels_IDX_v2.0	null					
Panel	PowerPlex_ESX_16_IDX_v2.0	null					
AMEL	blue	78	92	1, 2	6	none	"1, 2"
D3S1358	blue	92.01	148.2	17,18	4	none	"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
TH01	blue	148.21	195	6,9.3	4	none	"3, 4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3"
D21S11	blue	195.01	270	29,31.2	4	none	"24, 24.2, 25, 25.2, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38"
D18S51	blue	270.01	370	16,18	4	none	"7, 8, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27"
D10S1248	green	70	125	13,15	4	none	"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
D1S1656	green	125.01	184	12,13	4	none	"9, 10, 11, 12, 13, 14, 14.3, 15, 15.3, 16, 16.3, 17, 17.3, 18, 18.3, 19, 19.3, 20.3"
D2S1338	green	184.01	265	22,25	4	none	"10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28"
D16S539	green	265.01	330	9,13	4	none	"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"
D22S1045	yellow	70	120	16	3	none	"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
vWA	yellow	120.01	200	16,19	4	none	"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
D8S1179	yellow	200.01	257.5	14,15	4	none	"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
FGA	yellow	257.51	420	20,23	4	none	"14, 15, 16, 17, 18, 18.2, 19, 19.2, 20, 20.2, 21, 21.2, 22, 22.2, 23, 23.2, 24, 24.2, 25, 25.2, 26, 27, 28, 29, 30, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 48.2, 50.2"
D2S441	red	80	127	10,14	4	none	"8, 9, 10, 11, 11.3, 12, 13, 14, 15, 16, 17"
D12S391	red	127.01	188	18,23	4	none	"14, 15, 16, 17, 17.3, 18, 18.3, 19, 20, 21, 22, 23, 24, 25, 26, 27"
D19S433	red	188.01	262	13,14	4	none	"5.2, 6.2, 8, 9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 18, 18.2"
