Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESX_Panels_IDX_v3.0			
BinSet Name	PowerPlex_ESX_Bins_IDX_v3.0			
Panel Name	PowerPlex_ESX_16_IDX_v3.0			
Marker Name	AMEL			
1	77.02	0.5	0.5	
2	83.24	0.5	0.5	
Marker Name	D3S1358			
8	90.21	0.5	0.5	virtual
9	94.5	0.5	0.5	
10	98.79	0.5	0.5	
11	103.14	0.5	0.5	
12	107.52	0.5	0.5	
13	111.87	0.5	0.5	
14	116.22	0.5	0.5	
14.3	119.47	0.5	0.4	virtual
15	120.55	0.4	0.4	
15.1	121.61	0.4	0.4	virtual
15.2	122.68	0.4	0.4	virtual
15.3	123.74	0.4	0.4	virtual
16	124.8	0.4	0.5	
16.2	126.92	0.5	0.5	virtual
17	129.04	0.5	0.4	
17.1	130.11	0.4	0.4	virtual
17.2	131.18	0.4	0.5	virtual
18	133.31	0.5	0.4	
18.1	134.36	0.4	0.4	virtual
18.2	135.4	0.4	0.4	virtual
18.3	136.45	0.4	0.4	virtual
19	137.49	0.4	0.5	
20	141.67	0.5	0.4	
20.1	142.72	0.4	0.5	virtual
Marker Name	TH01			
3	147.26	0.5	0.5	
4	151.36	0.5	0.5	
5	155.45	0.5	0.5	
5.3	158.5	0.5	0.4	virtual
6	159.52	0.4	0.4	
6.1	160.54	0.4	0.5	virtual
6.3	162.57	0.5	0.4	virtual
7	163.58	0.4	0.4	
7.1	164.59	0.4	0.5	virtual
7.3	166.62	0.5	0.4	virtual
8	167.63	0.4	0.5	
8.3	170.65	0.5	0.4	virtual
9	171.66	0.4	0.4	
9.1	172.66	0.4	0.5	virtual
9.3	174.66	0.5	0.4	
10	175.67	0.4	0.5	
10.3	178.69	0.5	0.4	virtual
11	179.69	0.4	0.5	
13.3	190.82	0.5	0.5	
Marker Name	D21S11			
23.2	196.59	0.5	0.4	virtual
23.3	197.62	0.4	0.4	virtual
24	198.64	0.4	0.5	
24.2	200.69	0.5	0.4	
24.3	201.7	0.4	0.4	virtual
25	202.71	0.4	0.5	
25.2	204.74	0.5	0.4	
25.3	205.76	0.4	0.4	virtual
26	206.77	0.4	0.5	
26.2	208.82	0.5	0.5	virtual
27	210.86	0.5	0.4	
27.1	211.87	0.4	0.4	virtual
27.2	212.88	0.4	0.5	virtual
28	214.9	0.5	0.4	
28.1	215.92	0.4	0.4	virtual
28.2	216.94	0.4	0.4	
28.3	217.95	0.4	0.4	virtual
29	218.96	0.4	0.4	
