Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESX_Panels_IDX_v2.0			
BinSet Name	PowerPlex_ESX_Bins_IDX_v2.0			
Panel Name	PowerPlex_ESX_17_IDX_v2.0			
Marker Name	AMEL			
1	81.79	0.5	0.5	
2	87.55	0.5	0.5	
Marker Name	D3S1358			
8	94.05	0.5	0.5	virtual
9	98.08	0.5	0.5	
10	102.17	0.5	0.5	
11	106.32	0.5	0.5	
12	110.47	0.5	0.5	
13	114.62	0.5	0.5	
14	118.77	0.5	0.5	
15	122.88	0.5	0.5	
15.2	124.93	0.5	0.5	virtual
16	126.97	0.5	0.5	
17	131.04	0.5	0.4	
17.1	132.08	0.5	0.5	virtual
18	135.18	0.5	0.5	
19	139.22	0.5	0.5	
20	143.31	0.5	0.4	
20.1	144.35	0.5	0.5	virtual
21	147.48	0.5	0.5	virtual
Marker Name	TH01			
3	148.77	0.5	0.5	
4	152.76	0.5	0.5	
5	156.74	0.5	0.5	
6	160.72	0.5	0.5	
7	164.67	0.5	0.5	
8	168.62	0.5	0.5	
8.3	171.59	0.5	0.4	virtual
9	172.57	0.5	0.5	
9.3	175.5	0.5	0.4	
10	176.5	0.5	0.5	
10.3	179.47	0.5	0.4	virtual
11	180.45	0.5	0.5	
13.3	191.39	0.5	0.5	
Marker Name	D21S11			
23.2	197	0.5	0.5	virtual
24	199	0.5	0.5	
24.2	201.01	0.5	0.4	
24.3	202	0.5	0.4	virtual
25	203	0.5	0.5	
25.2	205.02	0.5	0.4	
25.3	206.02	0.5	0.4	virtual
26	207.02	0.5	0.5	
26.2	209.03	0.5	0.5	virtual
27	211.04	0.5	0.4	
27.1	212.03	0.5	0.4	virtual
27.2	213.03	0.5	0.5	virtual
28	215.03	0.5	0.4	
28.1	216.04	0.5	0.4	virtual
28.2	217.05	0.5	0.4	
28.3	218.04	0.5	0.4	virtual
29	219.03	0.5	0.4	
29.1	220.04	0.5	0.4	virtual
29.2	221.04	0.5	0.4	
29.3	222.05	0.5	0.4	virtual
30	223.07	0.5	0.5	
30.2	225.06	0.5	0.4	
30.3	226.09	0.5	0.4	virtual
31	227.11	0.5	0.4	
31.1	228.09	0.5	0.4	virtual
31.2	229.09	0.5	0.5	
32	231.16	0.5	0.4	
32.1	232.17	0.5	0.4	virtual
32.2	233.18	0.5	0.5	
33	235.27	0.5	0.4	
33.1	236.25	0.5	0.4	virtual
33.2	237.23	0.5	0.5	
34	239.26	0.5	0.4	
34.1	240.27	0.5	0.4	virtual
34.2	241.28	0.5	0.5	
35	243.29	0.5	0.4	
35.1	244.31	0.5	0.4	virtual
35.2	245.34	0.5	0.5	
36	247.42	0.5	0.4	
36.1	248.42	0.5	0.4	virtual
36.2	249.42	0.5	0.5	virtual
37	251.42	0.5	0.5	
37.2	253.42	0.5	0.5	virtual
38	255.4	0.5	0.5	
38.2	257.38	0.5	0.5	virtual
39	259.38	0.5	0.5	virtual
Marker Name	D18S51			
7	280.87	0.5	0.5	
8	284.71	0.5	0.5	
9	288.55	0.5	0.5	
9.2	290.46	0.5	0.5	virtual
10	292.37	0.5	0.5	
10.2	294.31	0.5	0.5	
11	296.22	0.5	0.5	
11.2	298.12	0.5	0.5	virtual
12	300.03	0.5	0.5	
12.2	301.44	0.5	0.5	virtual
13	303.91	0.5	0.5	
13.2	305.88	0.5	0.4	
13.3	306.85	0.5	0.4	virtual
14	307.79	0.5	0.5	
14.2	309.73	0.5	0.5	virtual
15	311.67	0.5	0.5	
15.2	313.62	0.5	0.5	virtual
16	315.56	0.5	0.4	
16.1	316.53	0.5	0.4	virtual
16.2	317.49	0.5	0.5	virtual
17	319.45	0.5	0.5	
17.2	321.4	0.5	0.5	virtual
18	323.36	0.5	0.4	
18.1	324.33	0.5	0.4	virtual
18.2	325.31	0.5	0.5	virtual
19	327.27	0.5	0.5	
19.2	329.24	0.5	0.5	virtual
20	331.22	0.5	0.5	
20.2	333.18	0.5	0.5	virtual
21	335.14	0.5	0.5	
21.2	337.11	0.5	0.5	virtual
22	339.08	0.5	0.5	
22.2	340.49	0.5	0.5	virtual
23	342.99	0.5	0.5	
24	346.94	0.5	0.5	
25	350.84	0.5	0.5	
26	354.69	0.5	0.5	
27	358.55	0.5	0.5	
28	362.41	0.5	0.5	virtual
Marker Name	D10S1248			
8	76.93	0.5	0.5	
9	80.95	0.5	0.5	
10	84.99	0.5	0.5	
11	89.04	0.5	0.5	
12	93.1	0.5	0.5	
13	97.17	0.5	0.5	
14	101.28	0.5	0.5	
15	105.42	0.5	0.5	
16	109.56	0.5	0.5	
17	113.71	0.5	0.5	
18	117.86	0.5	0.5	
19	121.97	0.5	0.5	
Marker Name	D1S1656			
8	126.52	0.5	0.5	virtual
9	130.61	0.5	0.5	
10	134.7	0.5	0.5	
11	138.78	0.5	0.5	
12	142.88	0.5	0.5	
13	146.92	0.5	0.5	
13.3	149.97	0.5	0.4	virtual
14	151.02	0.5	0.5	
14.3	154.05	0.5	0.4	
15	155.1	0.5	0.5	
15.3	158.11	0.5	0.4	
16	159.18	0.5	0.5	
16.3	162.18	0.5	0.4	
17	163.22	0.5	0.4	
17.1	164.22	0.5	0.5	virtual
17.3	166.22	0.5	0.4	
18	167.26	0.5	0.5	
18.3	170.24	0.5	0.4	
19	171.29	0.5	0.5	
19.3	174.26	0.5	0.5	
20.3	178.29	0.5	0.4	
21	179.29	0.5	0.5	virtual
Marker Name	D2S1338			
10	192.08	0.5	0.5	
11	196.01	0.5	0.5	virtual
12	199.94	0.5	0.5	
13	203.89	0.5	0.5	virtual
14	207.84	0.5	0.5	
15	211.79	0.5	0.5	
16	215.74	0.5	0.5	
17	219.69	0.5	0.5	
18	223.67	0.5	0.5	
18.3	226.64	0.5	0.4	virtual
19	227.63	0.5	0.5	
19.3	230.64	0.5	0.4	virtual
20	231.65	0.5	0.5	
21	235.64	0.5	0.5	
22	239.62	0.5	0.5	
23	243.6	0.5	0.5	
23.2	245.6	0.5	0.4	virtual
23.3	246.6	0.5	0.4	virtual
24	247.6	0.5	0.5	
24.2	249.6	0.5	0.5	virtual
25	251.59	0.5	0.5	
26	255.61	0.5	0.5	
27	259.59	0.5	0.5	
28	263.56	0.5	0.5	
Marker Name	D16S539			
4	269.12	0.5	0.5	
5	273.17	0.5	0.5	
6	277.19	0.5	0.5	
7	281.18	0.5	0.5	
8	285.15	0.5	0.5	
9	289.13	0.5	0.5	
9.3	292.1	0.5	0.4	virtual
10	293.09	0.5	0.5	
11	297.09	0.5	0.5	
11.3	300.09	0.5	0.4	virtual
12	301.08	0.5	0.4	
12.1	302.09	0.5	0.5	virtual
13	305.1	0.5	0.5	
13.3	308.13	0.5	0.4	virtual
14	309.14	0.5	0.5	
15	313.15	0.5	0.5	
16	317.22	0.5	0.5	
Marker Name	D22S1045			
6	75.46	0.5	0.5	virtual
7	78.41	0.5	0.5	
8	81.3	0.5	0.5	
9	84.25	0.5	0.5	
10	87.19	0.5	0.5	
11	90.14	0.5	0.5	
12	93.12	0.5	0.5	
13	96.1	0.5	0.5	
14	99.08	0.5	0.5	
15	102.09	0.5	0.5	
16	105.15	0.5	0.5	
17	108.19	0.5	0.5	
18	111.24	0.5	0.5	
19	114.29	0.5	0.5	
20	117.33	0.5	0.5	
Marker Name	vWA			
10	124.71	0.5	0.5	
11	128.88	0.5	0.5	
12	132.86	0.5	0.5	
13	136.91	0.5	0.5	
14	140.93	0.5	0.5	
15	144.98	0.5	0.5	
15.2	147	0.5	0.5	virtual
16	149.03	0.5	0.5	
17	153.06	0.5	0.5	
18	157.11	0.5	0.5	
19	161.12	0.5	0.5	
20	165.12	0.5	0.5	
21	169.09	0.5	0.5	
22	173.05	0.5	0.5	
23	177.07	0.5	0.5	
24	181.03	0.5	0.5	
25	185	0.5	0.5	virtual
Marker Name	D8S1179			
7	203.57	0.5	0.5	
8	207.57	0.5	0.5	
9	211.56	0.5	0.5	
10	215.57	0.5	0.5	
11	219.58	0.5	0.5	
12	223.59	0.5	0.5	
13	227.59	0.5	0.5	
14	231.65	0.5	0.5	
15	235.69	0.5	0.5	
16	239.74	0.5	0.5	
17	243.75	0.5	0.5	
18	247.85	0.5	0.5	
19	251.88	0.5	0.5	
20	255.93	0.5	0.5	virtual
Marker Name	FGA			
12.2	258.45	0.5	0.5	virtual
13	260.4	0.5	0.5	virtual
14	264.31	0.5	0.5	
15	268.22	0.5	0.5	
16	272.12	0.5	0.4	
16.1	273.09	0.5	0.5	virtual
17	275.98	0.5	0.5	
17.2	277.91	0.5	0.5	virtual
18	279.84	0.5	0.5	
18.2	281.7	0.5	0.5	
19	283.66	0.5	0.5	
19.2	285.53	0.5	0.4	
19.3	286.5	0.5	0.4	virtual
20	287.48	0.5	0.4	
