Version	GM v 3.0			
Chemistry Kit	PowerPlex_S5_Panels_v2.0			
BinSet Name	PowerPlex_S5_Bins_v2.0			
Panel Name	PowerPlex_S5_v2.0			
Marker Name	AMEL			
1	97.37	0.5	0.5	
2	103.36	0.5	0.5	
Marker Name	D18S51			
7	113.86	0.5	0.5	virtual
8	118.06	0.5	0.5	
9	122.26	0.5	0.5	
9.2	124.32	0.5	0.5	virtual
10	126.37	0.5	0.5	
10.2	128.40	0.5	0.5	
11	130.51	0.5	0.5	
11.2	132.57	0.5	0.5	virtual
12	134.63	0.5	0.5	
12.2	136.68	0.5	0.5	virtual
13	138.73	0.5	0.5	
13.2	140.74	0.5	0.5	
14	142.86	0.5	0.5	
14.2	144.93	0.5	0.5	virtual
15	146.99	0.5	0.5	
15.2	149.04	0.5	0.5	virtual
16	151.09	0.5	0.5	
16.2	153.14	0.5	0.5	virtual
17	155.20	0.5	0.5	
17.2	157.24	0.5	0.5	virtual
18	159.29	0.5	0.5	
18.2	161.33	0.5	0.5	virtual
19	163.36	0.5	0.5	
19.2	165.39	0.5	0.5	virtual
20	167.41	0.5	0.5	
20.2	169.43	0.5	0.5	virtual
21	171.45	0.5	0.5	
21.2	173.47	0.5	0.5	virtual
22	175.48	0.5	0.5	
22.2	177.50	0.5	0.5	virtual
23	179.52	0.5	0.5	
23.2	181.53	0.5	0.5	virtual
24	183.55	0.5	0.5	
25	187.57	0.5	0.5	
26	191.58	0.5	0.5	
27	195.63	0.5	0.5	
Marker Name	D8S1179			
7	203.38	0.5	0.5	
8	207.40	0.5	0.5	
9	211.43	0.5	0.5	
10	215.46	0.5	0.5	
11	219.49	0.5	0.5	
12	223.50	0.5	0.5	
13	227.54	0.5	0.5	
14	231.59	0.5	0.5	
15	235.67	0.5	0.5	
16	239.73	0.5	0.5	
17	243.80	0.5	0.5	
18	247.90	0.5	0.5	
19	252.00	0.5	0.5	virtual
20	256.10	0.5	0.5	virtual
Marker Name	TH01			
3	82.38	0.5	0.5	virtual
4	86.48	0.5	0.5	
5	90.58	0.5	0.5	
5.3	93.65	0.5	0.4	virtual
6	94.67	0.5	0.5	
6.3	97.75	0.5	0.4	virtual
7	98.77	0.5	0.5	
7.3	101.86	0.5	0.4	virtual
8	102.90	0.5	0.5	
8.3	106.02	0.5	0.4	virtual
9	107.06	0.5	0.5	
9.3	110.17	0.5	0.4	
10	111.21	0.5	0.5	
10.3	114.33	0.5	0.4	virtual
11	115.38	0.5	0.5	
12	119.55	0.5	0.5	virtual
13	123.71	0.5	0.5	virtual
13.3	126.77	0.5	0.5	
Marker Name	FGA			
16	140.72	0.5	0.5	
16.2	142.67	0.5	0.5	virtual
17	144.62	0.5	0.5	
17.2	146.59	0.5	0.5	virtual
18	148.56	0.5	0.5	
18.2	150.50	0.5	0.5	
19	152.49	0.5	0.5	
19.2	154.42	0.5	0.5	
20	156.41	0.5	0.5	
20.2	158.33	0.5	0.5	
21	160.33	0.5	0.5	
21.2	162.25	0.5	0.5	
22	164.21	0.5	0.5	
22.2	166.11	0.5	0.5	
23	168.08	0.5	0.5	
23.2	169.97	0.5	0.5	
24	171.94	0.5	0.5	
24.2	173.82	0.5	0.5	
25	175.80	0.5	0.5	
25.2	177.70	0.5	0.5	
26	179.68	0.5	0.5	
26.2	181.66	0.5	0.5	virtual
27	183.64	0.5	0.5	
27.2	185.58	0.5	0.5	virtual
28	187.52	0.5	0.5	
28.2	189.45	0.5	0.5	virtual
29	191.38	0.5	0.5	
29.2	193.31	0.5	0.5	virtual
30	195.24	0.5	0.5	
30.2	197.30	0.5	0.5	virtual
31	199.37	0.5	0.5	virtual
31.2	201.43	0.5	0.5	
32	203.49	0.5	0.5	virtual
32.2	205.56	0.5	0.5	virtual
33.2	209.70	0.5	0.5	virtual
34.2	213.84	0.5	0.5	virtual
42.2	244.88	0.5	0.5	virtual
43.2	248.90	0.5	0.5	
44.2	252.93	0.5	0.5	
45.2	256.95	0.5	0.5	
46.2	260.57	0.5	0.5	
47.2	264.19	0.5	0.5	virtual
48.2	267.89	0.5	0.5	virtual
49.2	271.59	0.5	0.5	virtual
50.2	275.29	0.5	0.5	virtual
51.2	278.99	0.5	0.5	virtual

