Version	GMID-X v 1.2
Chemistry Kit	Investigator_Panels_v9x
BinSet Name	Investigator_Bins_v9xPanel Name	Argus_X12_QS_Panels_v3			
Marker Name	QS1			
1	67.0	0.5	0.5	
2	71.0	0.5	0.5	
Marker Name	AMEL			
1	77.0	0.5	0.5	
2	80.0	0.5	0.5	
Marker Name	DXS10103			
15	111.0	0.5	0.5	
16	115.0	0.5	0.5	
17	119.0	0.5	0.5	
18	123.0	0.5	0.5	
19	127.0	0.5	0.5	
20	131.0	0.5	0.5	
21	135.0	0.5	0.5	
22	139.0	0.5	0.5	
Marker Name	DXS8378			
7	149.0	0.5	0.5	virtual
8	153.0	0.5	0.5	
9	157.0	0.5	0.5	
10	161.0	0.5	0.5	
11	165.0	0.5	0.5	
12	169.0	0.5	0.5	
13	173.0	0.5	0.5	
14	177.0	0.5	0.5	
15	181.0	0.5	0.5	
19	197.0	0.5	0.5	virtual
Marker Name	DXS10101			
21	201.0	0.5	0.5	
23.1	210.0	0.5	0.5	virtual
24	213.0	0.5	0.5	
24.2	215.0	0.5	0.5	
25	217.0	0.5	0.5	
25.2	219.0	0.5	0.5	
26	221.0	0.5	0.5	
26.2	223.0	0.5	0.5	
27	225.0	0.5	0.5	
27.2	227.0	0.5	0.4	
27.3	228.0	0.4	0.4	virtual
28	229.0	0.4	0.5	
28.2	231.0	0.5	0.5	
29	233.0	0.5	0.5	
29.2	235.0	0.5	0.5	
30	237.0	0.5	0.5	
30.2	239.0	0.5	0.5	
31	241.0	0.5	0.4	
31.1	242.0	0.4	0.4	virtual
31.2	243.0	0.4	0.5	
32	245.0	0.5	0.5	
32.2	247.0	0.5	0.5	
33	249.0	0.5	0.5	
33.2	251.0	0.5	0.5	
34	253.0	0.5	0.5	
34.2	255.0	0.5	0.5	
35	257.0	0.5	0.5	
36	261.0	0.5	0.5	
Marker Name	DXS10134			
28	295.0	0.5	0.5	
28.3	298.0	0.5	0.4	virtual
29	299.0	0.4	0.5	
30	303.0	0.5	0.5	
31	307.0	0.5	0.4	
31.1	308.0	0.4	0.5	virtual
32	311.0	0.5	0.4	
32.1	312.0	0.4	0.4	virtual
32.2	313.0	0.4	0.5	virtual
33	315.0	0.5	0.4	
33.1	316.0	0.4	0.5	virtual
34	319.0	0.5	0.4	
34.1	320.0	0.4	0.4	virtual
34.2	321.0	0.4	0.4	virtual
34.3	322.0	0.4	0.4	virtual
35	323.0	0.4	0.5	
35.3	326.0	0.5	0.4	virtual
36	327.0	0.4	0.5	
36.3	330.0	0.5	0.4	virtual
37	331.0	0.4	0.5	
37.2	333.0	0.5	0.4	virtual
37.3	334.0	0.4	0.4	virtual
38	335.0	0.4	0.4	
38.1	336.0	0.4	0.4	virtual
38.2	337.0	0.4	0.4	virtual
38.3	338.0	0.4	0.4	
39	339.0	0.4	0.5	virtual
39.2	341.0	0.5	0.4	virtual
39.3	342.0	0.4	0.4	
40	343.0	0.4	0.4	virtual
40.1	344.0	0.4	0.5	virtual
40.3	346.0	0.5	0.4	
41	347.0	0.4	0.5	virtual
41.3	350.0	0.5	0.5	
42.3	354.0	0.5	0.5	
43.3	358.0	0.5	0.5	
44.3	362.0	0.5	0.5	
Marker Name	DXS10074			
4	103.0	0.5	0.5	
6	111.0	0.5	0.5	virtual
7	115.0	0.5	0.5	
8	119.0	0.5	0.5	
9	123.0	0.5	0.5	
10	127.0	0.5	0.5	
11	131.0	0.5	0.5	
